Jahr	Life Sciences Industrie	Chemische Industrie	Finanz- und Versicherungsdienstl.	Verkehr und Lagerei	Handel und Reparatur	Unternehmens- und freiberufl. Dienstl.	Grundstücks- und Wohnungswesen	Baugewerbe	Öffentliche Verwaltung	Gesundheits- und Sozialwesen	Tourismus	Übrige Branchen	Total BS
2000	0.236451110238001	3.09325428604953E-02	0.158819374422117	5.79222342534906E-02	8.78416175399767E-02	634464324.392372	9.12382286317627E-03	3.38401589081496E-02	6.90260822009814E-02	6.04729265542017E-02	1.59282019727067E-02	0.112578833659992	22130583792.9698
2001	0.267553060999196	4.09307347613962E-02	0.124688285525459	5.52809288215536E-02	8.23863808268826E-02	696862380.338193	9.09538420717527E-03	3.21066970465839E-02	6.94935721882222E-02	5.93949387842462E-02	1.54557019208551E-02	0.103274943823537	23802780323.1156
2002	0.301595984201584	0.037943982471636	0.110910392165834	5.38325537331494E-02	7.83899002627768E-02	722379979.552293	8.5039312455691E-03	3.04495400239964E-02	6.90035925814325E-02	6.05906873123996E-02	1.46378562740709E-02	9.51635809645018E-02	24830892838.9305
2003	0.317295871473162	3.27453083530982E-02	0.120391522148172	5.18859995265883E-02	7.58613029537649E-02	728207572.278873	8.40582552672919E-03	2.81968926662046E-02	6.86944237361971E-02	6.14779886627806E-02	0.013164172946456	9.07513779074494E-02	25755941057.2365
2004	0.337215421242338	2.85583255225923E-02	0.113018197133712	5.09260246011585E-02	7.48679775643497E-02	819402729.238413	8.3137417346333E-03	2.56297492011298E-02	6.66748948848937E-02	6.18368126364754E-02	1.21937961247386E-02	8.87411781806245E-02	27094486523.2654
2005	0.345569246291489	2.57792982019883E-02	0.113303773910078	5.04320373937012E-02	7.41991179775334E-02	899665768.83259	8.27595778843395E-03	2.43498144951729E-02	6.58015035262826E-02	6.06860564631736E-02	1.19171274965262E-02	0.088420718893795	28195418318.455
2006	0.362949145822754	2.55083561587889E-02	0.118560325478538	4.69118719453356E-02	7.37093467056831E-02	876766154.619333	7.96343295414004E-03	2.25894946484941E-02	6.24673169811667E-02	0.057713614008608	1.16599205105675E-02	8.52984843108902E-02	30059283428.8253
2007	0.375205703080506	2.52308693143504E-02	0.125484650742364	0.045154805196623	0.07306891288185	860068350.33083	7.9260121356055E-03	2.10743181916266E-02	6.02279330759735E-02	5.47560659617745E-02	1.15497932679919E-02	0.081744548578786	31956024467.9491
2008	0.383661617165336	2.59236979786833E-02	0.110280912048562	4.59049569668237E-02	7.60280122604287E-02	851509911.122573	8.35569294611049E-03	2.09117996639253E-02	6.09346570350656E-02	5.65257939400036E-02	1.19608488132946E-02	0.083731720864312	32729263917.2187
2009	0.386939338524447	0.014633978486236	0.107599653265588	4.38899108789325E-02	7.53827003424853E-02	879898171.212691	8.54681058873161E-03	0.02119139143961	6.39027570209013E-02	5.91048968472159E-02	1.22576767268273E-02	9.29203079236185E-02	32576060829.7288
2010	0.392341891398159	1.27089421134212E-02	0.102988179818857	4.26808784288086E-02	8.00103037741758E-02	936249695.950801	7.67012103236286E-03	2.14664912164512E-02	6.40599712319753E-02	5.86549845845856E-02	1.25965111688361E-02	9.23458835655447E-02	33472606386.0068
2011	0.378184004911026	1.45108221887233E-02	0.106842276096741	4.17049802689973E-02	7.87546740618437E-02	965547897.137674	7.15463375020011E-03	2.20154090626883E-02	0.065997476107877	6.03846113319912E-02	1.31469009579315E-02	9.48534977656318E-02	33629091136.9658
2012	0.373677640994689	1.45519687916749E-02	0.106726495589768	0.042019094466236	7.50985248615709E-02	1014818680.12275	7.19379659804772E-03	2.15705067649054E-02	6.81639458202413E-02	6.25383594906758E-02	1.25174409590412E-02	9.06675136972053E-02	34483538115.1877
2013	0.369113043029123	1.18345944809104E-02	0.105653709833116	4.06066236875508E-02	7.18419827239427E-02	1096202636.23384	7.47279331843537E-03	2.15356714557954E-02	7.06152740263675E-02	6.42359207753936E-02	1.36305530822797E-02	9.16555081185421E-02	35103399262.2531
2014	0.376407841678279	1.16541738041304E-02	9.70749635418009E-02	3.97253971232925E-02	6.99400825018614E-02	1151909388.68984	7.44816429309392E-03	2.27971407734609E-02	0.07155989720229	6.48915988079794E-02	1.36609297661267E-02	9.14535735489002E-02	35834157377.8482
2015	0.378333745693115	0.012720940916522	9.44418293071765E-02	3.86658686586381E-02	6.58777030876584E-02	1179711906.1779	7.35273864990759E-03	2.23326282860251E-02	0.074065094367605	6.73850951015269E-02	1.35901010260837E-02	8.95699947207328E-02	36228998196.415
