"Jahr"	"Reales BIP pro Kopf Basel-Stadt (indexiert, 1995 = 100)"	"Ökologischer Fussabdruck Schweiz (indexiert, 1995 = 100)"	"BIP pro Kopf Kanton Basel-Stadt (2010 = 100)"	"Ökologischer Fussabdruck Schweiz"
1995	91.90	99.38	54.829235806	5.70754169548125
1996	95.00	96.83	56.678706829	5.56125944220064
1997	97.74	97.82	58.312802423	5.61802251413847
1998	103.00	97.82	61.451342853	5.61766835825624
1999	104.83	94.90	62.544760167	5.45008916812324
2000	111.19	96.37	66.337377086	5.53474006934982
2001	116.33	92.70	69.403554182	5.32401687942107
2002	121.97	92.45	72.768955722	5.30976753582619
2003	124.60	93.21	74.340063375	5.35342781977589
2004	129.77	93.19	77.424458251	5.35181705820737
2005	134.25	97.77	80.093943878	5.61511268979234
2006	142.71	97.92	85.144170701	5.62347819160788
2007	148.62	101.81	88.66896165	5.84693279676572
2008	152.11	100.81	90.74817211	5.78982402825676
2009	144.63	94.15	86.286563241	5.40710006255257
2010	147.94	95.00	88.260607185	5.45614444365428
2011	157.42	93.80	93.916838968	5.38729864905763
2012	155.10	88.30	92.535786655	5.071240907038
2013	157.32	88.85	93.857087251	5.10257962654837
2014	162.33	83.83	96.848184977	4.81431224956611
2015	167.61	81.58	100	4.68548278369767
2016	180.94	79.70	107.95211075	4.57700494665224
2017	190.07	77.53	113.39734706	4.45278446351115
2018	194.18	75.71	115.8494758	4.34825013885374
2019	198.90		118.66455281	
2020	193.61		115.50678168	
2021	200.25		119.47261271	
