Jahr	äaü dies ist ein test +-	Kanton Genf	äääkkksllsl
1995	93941	76840	72502
1996	93190	77829	74352
1997	92806	81069	77348
1998	96580	82931	80432
1999	99949	83628	82379
2000	108732	87539	87516
2001	117003	86522	86950
2002	122215	84903	84545
2003	126749	84543	84658
2004	133584	86777	86054
2005	138943	90665	88124
2006	149011	96440	93468
2007	159191	103375	99631
2008	162461	106149	100196
2009	159597	101529	96349
2010	160586	103471	96042
2011	167039	102464	96649
2012	167043	103246	96654
2013	166449	103650	97360
2014	167953	103840	96776
