Jahr	Bevölkerung
1970	236219
1971	232379
1972	229966
1973	227343
1974	223837
1975	220334
1976	216004
1977	212446
1978	210032
1979	208079
1980	206533
1981	205006
1982	203819
1983	203104
1984	202288
1985	201903
1986	199548
1987	198204
1988	196405
1989	195859
1990	196419
1991	198094
1992	198456
1993	199186
1994	198729
1995	197802
1996	196489
1997	194253
1998	192121
1999	190141
2000	188581
2001	187459
2002	188015
2003	188213
2004	188477
2005	187920
2006	187792
2007	188000
2008	189556
2009	190815
2010	190799
2011	192304
2012	193459
2013	195459
2014	196471
2015	197204
2016	198206
