Jahr	Einbürgerungsziffer männlich (linke Achse)	Einbürgerungsziffer weiblich (linke Achse)	Ausländeranteil (rechte Achse)	Einbürgerungsziffer Total (linke Achse)
2006	13.70702445	16.46717446	0.311919571	15.1
2007	29.28923925	32.80167436	0.313393617	31
2008	24.01129944	29.11837021	0.318270063	26.7
2009	14.63325407	18.34956084	0.325844404	16.6
2010	10.37104623	12.45539622	0.328020587	11.2
2011	7.249164127	10.18509451	0.333696037	8.7
2012	9.201109975	10.83343986	0.338712595	10.1
2013	11.84188107	14.03921084	0.345607007	13.1
2014	10.59428635	11.21042266	0.350072021	11
2015	12.36954001	15.3735503	0.352868096	13.8
2016	7.331498188	7.884632295	0.35700	7.6
