Jahr	Note 10	Note 9	Note 8	Note 7 	Note 6	Note 5	Note 4	Note 3	Note 2	Note 1																						
2003 männlich (N=1497)	6.360946746	7.100591716	41.56804734	24.26035503	10.94674556	6.804733728	1.627218935	0.73964497	0	0.591715976																						
2003 weiblich	9.61298377	6.991260924	36.8289638	23.34581773	8.739076155	11.360799	1.498127341	1.123595506	0.374531835	0.124843945																						
.
2005 männlich (N=1510)	5.420827389	9.415121255	37.23252496	25.24964337	9.129814551	9.129814551	2.710413695	0.998573466	0.427960057	0.285306705																						
2005 weiblich	8.010012516	10.51314143	35.66958698	23.27909887	9.887359199	9.511889862	1.376720901	1.251564456	0.125156446	0.375469337																						
..
2007 männlich (N=1509)	4.630969609	9.261939219	38.49493488	28.07525326	9.261939219	6.512301013	1.881331404	1.447178003	0.289435601	0.1447178																						
2007 weiblich	9.023485785	11.86650185	37.70086527	22.00247219	8.158220025	8.529048208	1.606922126	0.370828183	0.247218789	0.494437577																						
...
2011 männlich (N=1516)	9.792284866	11.5727003	42.13649852	22.84866469	6.083086053	5.044510386	0.890207715	1.18694362	0.296735905	0.148367953																						
2011 weiblich	16.32896305	10.72705602	35.51847437	20.61978546	6.197854589	7.389749702	1.668653159	0.595947557	0.238379023	0.715137068																						
...
2015 männlich (N=1506)	9.411764706	15.88235294	39.70588235	19.11764706	6.617647059	6.323529412	1.176470588	1.323529412	0.147058824	0.294117647																						
2015 weiblich	13.47342398	14.21508035	39.55500618	18.66501854	5.933250927	6.180469716	0.988875155	0.618046972	0.123609394	0.247218789																						
