Jahr	Schiene_Ausgang	Schiene_Eingang	Strasse_Ausgang	Strasse_Eingang	Pipeline_Ausgang	Total
2007	16549175	16549175	3124646	3124646	4393165	24066986
2008	17035277	17035277	3128538	3128538	4112209	24276024
2009	14759973	14759973	2897373	2897373	3211597	20868943
2010	15584382	15584382	3087929	3087929	2316394	20988705
2011	15811409	15811409	2713411	2713411	3046603	21571423
2012	14734179	14734179	2353192	2353192	1862414	18949785
2013	16160138	16160138	2147810	2147810	622155	18930102
2014	16263522	16263522	2087055	2087055	1769525	20120102
2015	18664332	18664332	1960269	1960269	1900627	22525228
2016	18121077	18121077	1747475	1747475	510261	20378813
