Jahr	Jahresmittelwerte Stickstoffdioxid	Jahresmittelwerte Feinstaub	Grenzwert Stickstoffdioxid	Grenzwert Feinstaub
1991	52.80		30.00	20.00
1992	49.90		30.00	20.00
1993	47.20		30.00	20.00
1994	42.70		30.00	20.00
1995	40.20		30.00	20.00
1996	43.10		30.00	20.00
1997	41.20		30.00	20.00
1998	36.00		30.00	20.00
1999	36.00		30.00	20.00
2000	33.80		30.00	20.00
2001	33.00		30.00	20.00
2002	32.70		30.00	20.00
2003	34.80	31.30	30.00	20.00
2004	33.30	29.00	30.00	20.00
2005	32.70	28.70	30.00	20.00
2006	33.80	29.50	30.00	20.00
2007	31.50	25.30	30.00	20.00
2008	32.40	23.70	30.00	20.00
2009	32.70	25.70	30.00	20.00
2010	32.40	25.50	30.00	20.00
2011	33.20	25.00	30.00	20.00
2012	31.80	22.60	30.00	20.00
2013	31.00	22.90	30.00	20.00
2014	31.90	18.80	30.00	20.00
2015	31.50	21.20	30.00	20.00
2016	27.80	18.70		20.00
