Funktion	Allgemeine Verwaltung2	Öffentliche Ordnung und Sicherheit	Bildung	Kultur, Sport und Freizeit, Kirche	Gesundheit	Soziale Sicherheit	Verkehr	Umweltschutz und Raumordnung	Volkswirtschaft	Finanzen und Steuern	Total
2000	184556	315154	821159	196641	791028	673627	315206	103793	54102	235508	3690774
2001	261470	334447	867729	206254	965519	666927	343636	116586	51000	234718	4048285
2002	209941	334272	925573	192664	979575	684525	288356	92160	27756	182364	3917186
2003	225634	331977	943500	205522	985546	694608	286626	84493	23578	143599	3925082
2004	140934	338550	946936	208896	991606	751599	241179	79452	23251	134747	3857149
2005	259339	351288	944912	194186	1009223	765702	253656	76993	21503	138786	4015587
2006	161398	364262	957409	198671	1029409	795955	276460	73133	23100	161805	4041603
2007	1179435	376797	1031536	213878	1050935	806445	206852	84649	26698	168302	5145527
2008	797216	353325	1110294	246449	589784	717051	151203	116396	45388	264177	4391283
2009	194842	335943	1154741	223173	648019	769345	127781	91412	85261	270155	3900672
2010	385192	346630	1184172	231160	633401	793272	125163	94955	140128	256128	4190201
2011	366745	364194	1217027	241940	649369	832573	126354	96338	34587	271833	4200959
2012	217976	385150	1319787	264909	885054	884794	177961	87397	17048	269099	4509177
2013	248759	419097	1375752	251703	605162	895985	310715	85641	16642	332778	4542233
2014	286025	426341	1458365	285868	607410	963078	252068	82268	23592	323288	4708304
