Funktion	Allg. Verwaltung	Öff. Sicherheit	Bildung	Kultur, Bildung, Kultur, Sport	Gesundheit	Soziale Sicherheit	Verkehr	Umweltschutz	Volkswirtschaft	Finanzen, Steuern	Total
2000	974	1663	4333	1038	4174	3555	1663	548	285	1243	19476
2001	1389	1777	4610	1096	5130	3543	1826	619	271	1247	21509
2002	1116	1776	4918	1024	5205	3637	1532	490	147	969	20814
2003	1197	1761	5004	1090	5227	3684	1520	448	125	762	20817
2004	746	1793	5016	1106	5252	3981	1277	421	123	714	20430
2005	1374	1862	5007	1029	5348	4058	1344	408	114	735	21280
2006	856	1933	5081	1054	5463	4224	1467	388	123	859	21448
2007	6263	2001	5477	1136	5580	4282	1098	449	142	894	27322
2008	4216	1869	5872	1303	3119	3792	800	616	240	1397	23224
2009	1022	1762	6056	1170	3398	4035	670	479	447	1417	20456
2010	2007	1806	6169	1204	3300	4133	652	495	730	1334	21830
2011	1908	1895	6333	1259	3379	4332	657	501	180	1415	21860
2012	1130	1997	6842	1373	4588	4587	923	453	88	1395	23376
2013	1278	2153	7068	1293	3109	4603	1596	440	85	1738	23363
2014	1457	2174	7437	1458	3098	4912	1313	420	120	1649	24011
2015	1807	2181	7803	1680	3094	4557	1440	464	598	1523	25147
