Name	 Weiss nicht/k.A.	 Ganz unzufrieden	 Eher unzufrieden	 Eher zufrieden	 Sehr zufrieden
Parkplätze	27.0	16.4	21.3	27.1	8.2
Wohnungsangebot	14.6	5.8	28.9	39.8	11.0
Kinderbetreuung	41.6	0.7	6.8	33.6	17.3
Jugendeinrichtungen	25.9	1.1	17.8	45.0	10.1
Behinderteneinrichtungen	28.9	1.0	12.8	44.5	12.7
Arbeitsplatzangebot	25.4	2.0	14.8	46.5	11.3
Schule, Bildung	19.6	0.8	7.3	43.2	29.0
Senioreneinrichtungen	19.6	0.5	7.3	54.0	18.6
Sauberkeit	0.4	3.5	21.2	46.4	28.5
Öffentliche Sicherheit	0.8	3.5	19.1	55.4	21.1
Lärmsituation	0.3	4.4	15.7	50.1	29.5
Luftqualität	2.5	2.4	14.6	61.8	18.7
Bevölkerung	5.6	1.4	10.7	60.7	21.6
Quartierleben	9.2	0.7	7.7	55.9	26.6
Gebäude/Strassenbild	2.4	1.5	12.2	60.7	23.2
Verkehrssicherheit	1.1	1.5	11.5	61.4	24.5
Einkaufsmögl. im Quartier	0.2	1.1	10.1	42.0	46.6
Kulturangebot	5.2	0.4	4.6	46.4	43.5
Grünanlagen	0.5	0.9	7.3	41.6	49.7
Abfallbeseitigung	0.3	1.9	5.8	42.9	49.0
Gesundheitsversorgung	2.1	0.4	2.9	42.8	51.7
ÖV-Angebot	0.9	0.3	3.5	26.4	68.9
Einkaufsmögl. in Basel	1.0	0.1	3.2	45.9	49.7
