Jahr	Laden	Büro	Gewerbe	Produktion	Lager	Total
1995	7495	37359	2396	2110	14801	64161
1996	9754	36414	4314	910	14284	65676
1997	10112	24845	10157	383	22716	68213
1998	9996	14888	5262	2951	12821	45918
1999	7112	28533	5634	16023	21008	78310
2000	5734	37764	1115	14048	22109	80770
2001	6284	22039	1532	14588	22703	67146
2002	4415	23722	1713	11547	8057	49454
2003	4122	34053	3387	11562	10782	63906
2004	7135	52201	3372	10420	11908	85036
2005	11604	65745	8888	11055	22125	119417
2006	12642	43273	12130	10362	13818	92225
2007	7906	52559	13558	1065	13534	88622
2008	8597	60842	6705	1015	17594	94753
2009	20200	49314	4494	456	36465	110929
2010	13516	81705	5562	75	40281	141139
2011	16373	87909	18925	2000	43476	168683
2012	14333	91175	18102	1057	23853	148520
2013	9503	71229	19987	1642	15360	117721
2014	17186	75525	6126	682	15894	115413
2015	17576	60952	6866	821	17931	104146
2016	10559	54565	7793	2035	11291	86243
