Jahr	Note 10	Note 9	Note 8	Note 7 	Note 6	Note 5	Note 4	Note 3	Note 2	Note 1
2005 <3000 Fr.	10.74766355	9.813084112	33.64485981	21.4953271	7.476635514	12.14953271	2.336448598	0.934579439	0	1.401869159
2005  3000-7499 Fr.	7.704160247	9.399075501	33.59013867	25.1155624	11.55624037	8.320493066	2.157164869	1.386748844	0.61633282	0.154083205
2005 >7500 Fr.	3.519061584	11.73020528	43.69501466	23.75366569	9.090909091	6.451612903	0.879765396	0.586510264	0	0.293255132
.
2007 <3000 Fr.	10.09615385	11.53846154	32.21153846	25	7.211538462	11.53846154	0.961538462	0.480769231	0.961538462	0
2007 3000-7499 Fr.	6.678082192	9.417808219	39.89726027	23.45890411	9.075342466	7.705479452	2.054794521	1.198630137	0.171232877	0.342465753
2007 >7500 Fr.	3.812316716	8.797653959	40.46920821	24.92668622	8.797653959	4.398826979	0.879765396	0	0	0.293255132
..
2011 <3000 Fr.	19.11764706	9.558823529	28.67647059	16.91176471	6.617647059	14.70588235	1.470588235	2.205882353	0	0.735294118
2011 3000-7499 Fr.	13.80323054	9.691629956	38.32599119	20.99853157	6.020558003	7.929515419	1.174743025	1.027900147	0.293685756	0.734214391
2011 >7500 Fr.	13.7829912	21.70087977	68.03519062	34.01759531	8.211143695	4.105571848	1.46627566	0.879765396	0	0
...
2015 <3000 Fr.	13.4751773	18.43971631	35.46099291	14.18439716	6.382978723	9.219858156	0.709219858	0.709219858	0.709219858	0.709219858
2015 3000-7499 Fr.	11.40065147	12.05211726	42.34527687	19.54397394	6.51465798	6.026058632	0.977198697	0.814332248	0	0.325732899
2015 >7500 Fr.	14.07624633	27.27272727	60.11730205	24.92668622	9.090909091	5.571847507	1.759530792	1.46627566	0.293255132	0.293255132
