Name	2005	2008	2011	2012	2013	2014	2015
Pharmaindustrie	12888	14427	16747	17811	17756	18186	18692
Übriges verarbeit. Gewerbe	10729	11057	10370	9943	9082	8723	8719
Bau, Energie, Wasser	9519	8786	8926	9102	9037	9459	9526
Handel und Verkehr	31923	31557	30017	29717	29282	28809	27297
Finanzen, Versicherung	11656	12244	12074	11898	11723	11678	11514
Unternehmens-DL, Freiberufe	29016	31953	34473	35062	36382	37247	36690
Öff. Verwaltung und Bildung	17700	17727	17529	18058	18171	18684	18923
Gesundheits- und Sozialwesen	23549	24400	26410	26973	28048	29009	29558
Übrige Branchen	24763	26186	27258	28386	29273	29779	29834
