"WohnviertelId"	"Wohnviertel_Name"	"Bevölkerungsdichte 2018"	"Differenz 2018 zu 1999"	"Bevölkerungsdichte 1999"	"Einwohner 1999"	"Einwohner 2018"	"Fläche"
01	"Altstadt Grossbasel"	68.899	11.9560	56.943	2148	2599	377216.69
02	"Vorstädte"	55.586	1.5302	54.056	4875	5013	901840.83
03	"Am Ring"	120.413	6.0507	114.362	10452	11005	913939.03
04	"Breite"	131.015	3.2790	127.736	8765	8990	686180.74
05	"St. Alban"	38.716	5.1457	33.570	10001	11534	2979161.95
06	"Gundeldingen"	161.205	1.5280	159.677	18601	18779	1164913.75
07	"Bruderholz"	36.123	1.7218	34.402	8911	9357	2590291.35
08	"Bachletten"	88.574	-0.2093	88.783	13577	13545	1529227.37
09	"Gotthelf"	142.352	4.0021	138.350	6741	6936	487241.78
10	"Iselin"	155.539	7.4533	148.086	16173	16987	1092134.30
11	"St. Johann"	82.933	2.3969	80.536	18144	18684	2252902.03
12	"Altstadt Kleinbasel"	98.630	2.0170	96.613	2395	2445	247895.42
13	"Clara"	176.380	12.7035	163.677	3788	4082	231431.65
14	"Wettstein"	73.553	2.9501	70.603	5337	5560	755916.59
15	"Hirzbrunnen"	30.275	0.2970	29.978	9285	9377	3097284.25
16	"Rosental"	107.946	42.0895	65.857	4173	6840	633650.05
17	"Matthäus"	263.837	2.6197	261.217	15555	15711	595481.52
18	"Klybeck"	79.253	2.2821	76.971	7083	7293	920218.14
19	"Kleinhüningen"	21.154	3.4047	17.749	2398	2858	1351059.46
20	"Riehen"	19.749	0.7431	19.006	20641	21448	10860254.93
30	"Bettingen"	5.447	0.0674	5.379	1198	1213	2227019.11

