jahr	Basel-Stadt	Genf	Zürich	BIP BS CHF	BIP GE CHF	BIP ZH CHF	Einwohner BS	Einwohner_GE	Einwohner ZH
1995	93910.7682140917	76575.493013806	72396.9220199266	18505463518.446	29994520777.5272	84600738581.057	197053.691183299	391698.696241099	1168568.16865462
1996	93170.9996381502	77256.3488852287	74192.787231556	18239074631.0581	30552184855.0532	87210715422.616	195759.138593484	395465.036801587	1175460.83220234
1997	92706.0429318674	80017.3857051045	76983.9644772178	18069618049.4178	31573809926.2016	90752572155.4004	194913.055049688	394586.871940099	1178850.33294508
1998	96470.7596879182	81893.5344544082	80078.8869334456	18623998438.4667	32483756178.2131	94622160260.0641	193053.299245441	396658.373516623	1181611.83157685
1999	99704.6159447901	82796.9919814539	81976.8243310872	18994233193.3696	33028531640.8584	97356523677.5906	190505.053486063	398909.801557243	1187610.33343263
2000	108769.633074196	86588.682112678	87152.8263586585	20498510371.0431	34900937399.917	104458777668.871	188458.026304642	403065.81123963	1198570.16729433
2001	117055.140350922	85214.3353219376	86727.8653842929	21966777626.1817	34825846549.3997	105083774332.648	187661.793923163	408685.304154853	1211649.49543056
2002	122904.494202471	83966.963997331	84549.0917594777	22917846543.2332	34730278959.2783	103735674180.187	186468.743002015	413618.372106228	1226928.3090029
2003	127985.439123928	84070.0867574953	84860.0176599486	23897329544.819	35204094239.4175	105337660533.927	186719.127647633	418746.971690009	1241310.84860289
2004	134948.422548509	86386.01921558	86128.7229448553	25188569912.6206	36627200990.9727	107651502613.146	186653.31122019	423994.545917991	1249890.84863212
2005	140848.654255078	90491.9763621015	88294.13542743	26303883896.7157	38675758695.792	111410317850.158	186752.823701667	427394.342024666	1261808.80882771
2006	151141.737091354	96422.7392562733	93640.0918046606	28051958931.4931	41523432968.6394	119165492357.062	185600.347536946	430639.424775913	1272590.51182531
2007	161636.82995369	103464.30470687	99793.8585594897	29874017069.9806	44824428515.3506	128140321148.802	184821.844616352	433235.681062614	1284050.17100741
2008	165143.64587449	106579.519735132	100461.007583569	30588931897.4528	46700808366.1111	131359747789.061	185226.211613982	438178.071004359	1307569.48341165
2009	161855.28080205	101799.909572481	96492.5169329257	30213910477.4361	45413493176.1463	128598488789.087	186672.379966322	446105.437292283	1332730.17304004
2010	163049.645494745	103860.050795567	96277.9855691962	30636651057.484	47078984566.1337	130100592289.316	187897.685790868	453292.523983082	1351301.56203581
2011	169570.014789964	102870.557260818	96910.5711817288	31361938371.0096	47085343271.5158	133064845804.284	184949.788498018	457714.476574048	1373068.42980791
2012	171581.072324617	102186.651972806	96928.3596168382	31957723759.4898	47060397999.2487	134962963097.845	186254.365510832	460533.710525836	1392399.1247903
2013	169672.967840768	102841.492538776	97258.5564509247	31800893760.9966	47626023461.4926	136996440404.293	187424.633196966	463101.247227963	1408579.82478302
2014	170354.85898419	102434.38353473	97632.482921762	32254041681.4893	48086161472.2203	139178975506.426	189334.439145541	469433.795693387	1425539.64972864
2015	172396.29294762	99451.5898464973	96834.7861646	32855396178.9956	47476651228.5487	140057213995.719	190580.641945579	477384.537560722	1446352.28251188
2016	173750.634339774	98835.771758461	94430.7269536585	33328260858.9907	47909321238.5491	138475206395.806	191816.628386037	484736.653401482	1466421.0566097
2017	174219.032431048	98975.0994351476	94738.6089474247	33636578401.2596	48450615011.005	140968174469.583	193070.630297366	489523.276940497	1487969.64654414
