jahr	Allg. Verwaltung	Öff. Sicherheit	Bildung	Kultur und Sport	Gesundheit	Soziale Sicherheit	Verkehr	Umweltschutz	Volkswirtschaft	Finanzen, Steuern	Total (rechte Skala)	allg_verwaltung_ausg	sicherheit_ausg	bildung_ausg	kultur_sport_ausg	gesundheit_ausg	soziales_ausg	verkehr_ausg	umweltschutz_ausg	Volkswirtschaft_ausg	finanzen_und_steuern_ausg	Bevölkerung
2009	1021.103994	1760.571214	6051.627608	1169.577723	3396.057522	4031.890179	669.656896	479.062144	446.827275	1415.794494	20442.169054	194841958.71	335943396.28	1154741322.17	223172973.37	648018716.24	769345124.52	127780580.79	91412243.19	85261346.49	270154826.43	190815
2010	2018.835368	1816.730172	6206.387291	1211.537605	3319.729685	4157.63016	655.995123	497.668315	734.426347	1342.395513	21961.335582	385191769.47	346630300.11	1184172488.75	231160163.55	633401104.21	793271676.99	125163213.58	94954616.98	140127812.65	256127721.61	190799
2011	1907.112111	1893.842691	6328.662073	1258.11147	3376.783559	4329.4604	657.05179	500.966643	179.85709	1413.55957	21845.407403	366745287.52	364193524.94	1217027031.46	241939868.31	649368985.56	832572552.93	126353687.6	96337889.44	34587237.84	271833159.72	192304
2012	1118.210275	1990.863394	6822.05075	1369.331054	4574.892564	4582.066768	919.889619	451.759675	88.124485	1390.988186	23308.176774	216327841.69	385150441.46	1319787116.16	264909416.46	885054140.71	886442054.91	177960925.89	87396975.04	17048474.77	269099183.53	193459
2013	1264.239182	2144.166971	7038.572279	1287.754282	3096.107241	4592.455198	1589.669176	438.151785	85.141904	1731.115855	23267.373878	247106926.37	419096732.16	1375752299.2	251703164.21	605162025.3	897636700.67	310715147.59	85640709.89	16641751.48	338362174.07	195459
2014	1.445741	2.169993	7.404774	1.483708	3.0916	4.935055	1.284652	0.419505	0.12008	1.645474	24.000588	284046.19419	426340.83184	1454823.40961	291505.68619	607409.93135	969595.35998	252397.03923	82420.6322	23592.40267	323288.1022	196471
2015	1.796773	2.178658	7.776808	1.701688	3.091311	4.582854	1.438726	0.463806	0.597569	1.521461	25.14966	354330.99728	429640.20602	1533617.65055	335579.7955	609618.96207	903757.33198	283722.6522	91464.49275	117843.181	300038.378	197204
2016	3.821571	2.202985	8.056603	1.573878	3.128022	4.675649	1.365814	0.578097	0.093334	1.495644	26.991602	757458.35653	436645.00382	1596867.17355	311952.25663	619992.80634	926741.78216	270712.60958	114582.45242	18499.36509	296445.80315	198206
2017	2.265773	2.284882	7.686975	1.560849	2.965825	4.740102	1.356137	0.483485	0.080442	1.553325	24.977799	450861.71672	454664.18062	1529615.83524	310590.27147	590163.65047	943223.42979	269855.03728	96207.79716	16007.15207	309093.21488	198988
2018	1.695552	2.29088	7.684458	1.595418	2.914677	4.816258	1.171162	0.482149	0.118486	1.58936	24.358405	339544.54081	458762.58762	1538858.95748	319492.07544	583681.73268	964484.71551	234532.37072	96553.27661	23727.59967	318279.00568	200256
