Kanton	2020	2019	2018
ZG	2.1	2.05	2.21
BS	2.06	2.07	0.88
ZH	1.23	1.35	1.42
GE	1.14	0.02	0.06
AG	0.66	0.84	0.97
SZ	0.49	0.59	0.71
NW	0.38	0.61	0.75
LU	0.3	0.54	0.7
BL	0.22	0.09	0.18
TG	0.21	0.13	0.27
SH	0.14	0.03	0.16
VD	-0.01	0.24	-0.48
AR	-0.06	0.19	0.32
OW	-0.11	0.04	0.22
SO	-0.18	-0.31	-0.21
SG	-0.24	-0.29	-0.17
AI	-0.4	-0.3	-0.07
FR	-0.52	-1.06	-0.98
UR	-0.78	-0.83	-0.72
NE	-0.79	-0.74	-0.57
GL	-0.89	-0.95	-0.84
BE	-0.91	-0.72	-0.66
TI	-1.04	-1	-0.85
GR	-1.24	-1.17	-1.06
JU	-1.56	-1.92	-1.84
VS	-1.91	-1.67	-1.57
