Haushaltstyp     Mittlere Wohnfläche
Einpersonenhaushalte	66.96
Familienhaushalte	30.67
&nbsp;&nbsp;&nbsp;&nbsp;Verheiratete/registrierte Paare ohne Kinder	46.11
&nbsp;&nbsp;&nbsp;&nbsp;Paare mit minderjährigen Kindern	25.84
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Verheiratete Paare mit Kindern	24.88
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Unverheiratete Paare mit Kindern	26.80
&nbsp;&nbsp;&nbsp;&nbsp;Einelternhaushalte mit minderjährigen Kindern	27.89
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ohne weitere Personen	32.79
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mit Grosseltern(-teil)	25.28
&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Mit weiteren Personen	25.58
&nbsp;&nbsp;&nbsp;&nbsp;Eltern(-teil) mit nur volljährigen Kindern	33.22
Nichtfamilienhaushalt	36.52
