WOV_ID	WOV_NAME	Sesshaftigkeit
1	Altstadt Grossbasel	31.53967007
2	Vorstädte	27.51891677
3	Am Ring	30.66890255
4	Breite	34.46732319
5	St. Alban	34.5356094
6	Gundeldingen	31.08945501
7	Bruderholz	42.06125109
8	Bachletten	42.21253969
9	Gotthelf	35.71741992
10	Iselin	32.78383887
11	St. Johann	31.77311014
12	Altstadt Kleinbasel	27.52403846
13	Clara	32.33905046
14	Wettstein	35.49929178
15	Hirzbrunnen	40.53087757
16	Rosental	20.8028083
17	Matthäus	29.08976773
18	Klybeck	34.19883366
19	Kleinhüningen	35.15381956
20	Riehen	43.24555974
30	Bettingen	42.60504202
