Wohnviertel_ID	Wohnviertel_Name	Anteil unter 20-Jähriger in %	Anzahl unter 20-Jähriger	Kanton Basel-Stadt: 32 873 unter 20-Jährige (16,6%)
1	Altstadt Grossbasel	9.66221524	246		
2	Vorstädte	10.87216249	546		
3	Am Ring	13.89975778	1492		
4	Breite	14.16741271	1266		
5	St. Alban	15.86820852	1729		
6	Gundeldingen	14.51194322	2740		
7	Bruderholz	20.93831451	1928		
8	Bachletten	17.83472417	2415		
9	Gotthelf	15.53312857	1062		
10	Iselin	17.09627143	2852		
11	St. Johann	17.02207058	3193		
12	Altstadt Kleinbasel	10.37660256	259		
13	Clara	12.05567984	485		
14	Wettstein	14.60694051	825		
15	Hirzbrunnen	19.02491874	1756		
16	Rosental	18.81868132	1233		
17	Matthäus	15.91964846	2536		
18	Klybeck	19.39738961	1397		
19	Kleinhüningen	19.8755617	575		
20	Riehen	19.64668349	4126		
30	Bettingen	17.81512605	212		
