Wohnviertel_ID	Wohnviertel_Name	Anteil über 64-Jähriger in %	Anzahl über 64-Jähriger
1	Altstadt Grossbasel	19.9135899	507
2	Vorstädte	23.9745121	1204
3	Am Ring	22.3868083	2403
4	Breite	22.0568487	1971
5	St. Alban	27.4229075	2988
6	Gundeldingen	15.3328743	2895
7	Bruderholz	23.751086	2187
8	Bachletten	22.3247914	3023
9	Gotthelf	21.7931841	1490
10	Iselin	16.8025417	2803
11	St. Johann	15.3214628	2874
12	Altstadt Kleinbasel	19.0304487	475
13	Clara	21.5262242	866
14	Wettstein	18.98017	1072
15	Hirzbrunnen	24.5070423	2262
16	Rosental	8.5927961	563
17	Matthäus	12.3728814	1971
18	Klybeck	13.7600666	991
19	Kleinhüningen	17.5596267	508
20	Riehen	26.3225561	5528
30	Bettingen	24.4537815	291
