Wohnviertel	wohnviertel	Geb100	AnzahlGebaeude
1	Altstadt Grossbasel	13.12279913	495
2	Vorstädte	6.003688577	542
3	Am Ring	12.84141602	1173
4	Breite	9.811730977	668
5	St. Alban	3.965724218	1184
6	Gundeldingen	12.25618956	1426
7	Bruderholz	8.021901098	2078
8	Bachletten	16.37416853	2504
9	Gotthelf	20.17415617	983
10	Iselin	13.30407919	1453
11	St. Johann	6.738091136	1518
12	Altstadt Kleinbasel	11.37427481	282
13	Clara	11.23229799	260
14	Wettstein	9.278528087	704
15	Hirzbrunnen	5.111376616	1582
16	Rosental	4.712101515	298
17	Matthäus	19.14636758	1140
18	Klybeck	4.78093159	436
19	Kleinhüningen	1.234674699	167
20	Riehen	3.792726525	4119
30	Bettingen	1.396486231	311
