Wohnviertel	wohnviertel	Wohnungen pro Hektare	Anzahl Wohnungen
1	Altstadt Grossbasel	37.40660521	1411
2	Vorstädte	37.52859207	3388
3	Am Ring	67.8744922	6200
4	Breite	77.80350148	5297
5	St. Alban	20.58894153	6147
6	Gundeldingen	95.67735079	11132
7	Bruderholz	16.89694952	4377
8	Bachletten	47.22613622	7222
9	Gotthelf	84.45234248	4115
10	Iselin	88.27572437	9641
11	St. Johann	44.65427986	10060
12	Altstadt Kleinbasel	61.87282822	1534
13	Clara	100.3994636	2324
14	Wettstein	42.92637213	3257
15	Hirzbrunnen	15.14350329	4687
16	Rosental	54.31566679	3435
17	Matthäus	148.2163982	8825
18	Klybeck	41.02170889	3741
19	Kleinhüningen	10.05483587	1360
20	Riehen	9.336792174	10140
30	Bettingen	2.231683784	497
