Wohnviertel_ID	Wohnviertel_Name	Sozialhilfequote in %	Anzahl Sozialhilfebezüger
1	Altstadt Grossbasel	1.924587588	49
2	Vorstädte	2.927120669	147
3	Am Ring	3.586733743	385
4	Breite	5.740823635	513
5	St. Alban	2.973568282	324
6	Gundeldingen	7.213600975	1362
7	Bruderholz	1.552997394	143
8	Bachletten	2.60689757	353
9	Gotthelf	4.402515723	301
10	Iselin	9.411341566	1570
11	St. Johann	8.748267406	1641
12	Altstadt Kleinbasel	7.211538462	180
13	Clara	7.97912006	321
14	Wettstein	4.780453258	270
15	Hirzbrunnen	4.74539545	438
16	Rosental	10.51587302	689
17	Matthäus	12.00878845	1913
18	Klybeck	13.62121633	981
19	Kleinhüningen	14.31040442	414
20	Riehen	3.547450121	745
30	Bettingen	1.260504202	15
