Wohnviertel_ID	Wohnviertel_Name	Ausländeranteil in %	Deutschland	Italien	3Türkei	Serbien, Montenegro, Kosovo	Spanien	Übrige
1	Altstadt Grossbasel	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
2	Vorstädte	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
3	Am Ring	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
4	Breite	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
5	St. Alban	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
6	Gundeldingen	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
7	Bruderholz	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
8	Bachletten	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
9	Gotthelf	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
10	Iselin	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
11	St. Johann	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
12	Altstadt Kleinbasel	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
13	Clara	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
14	Wettstein	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
15	Hirzbrunnen	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
16	Rosental	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
17	Matthäus	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
18	Klybeck	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
19	Kleinhüningen	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
20	Riehen	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
30	Bettingen	35.7244483	22.68952661	11.91390803	8.914246978	6.116540504	5.250819116	45.11495876
