"Wohnviertel_ID"	"Wohnviertel_Name"	"Arbeitsstätten pro 100 Einwohner"	"Anzahl Arbeitsstätten"
1	"Altstadt Grossbasel"	63.927126	1579
2	"Vorstädte"	40.612328	2003
3	"Am Ring"	14.207856	1512
4	"Breite"	4.2721519	378
5	"St. Alban"	16.820974	1835
6	"Gundeldingen"	8.3032874	1566
7	"Bruderholz"	5.0744622	460
8	"Bachletten"	6.6661751	904
9	"Gotthelf"	7.1480778	489
10	"Iselin"	4.0983607	680
11	"St. Johann"	6.2785752	1181
12	"Altstadt Kleinbasel"	22.094456	538
13	"Clara"	10.151402	409
14	"Wettstein"	7.8473337	440
15	"Hirzbrunnen"	3.5206575	317
16	"Rosental"	4.8598736	300
17	"Matthäus"	6.4865199	1049
18	"Klybeck"	4.7795632	348
19	"Kleinhüningen"	11.482759	333
20	"Riehen"	4.8157554	1005
30	"Bettingen"	4.4019934	53

