Jahr	Messstation Basel-Binningen
1864	7.7
1865	9.3
1866	9.7
1867	9.1
1868	10.1
1869	9
1870	8.4
1871	7.8
1872	9.8
1873	9.4
1874	8.9
1875	8.8
1876	9.3
1877	9.5
1878	8.7
1879	7.3
1880	9.3
1881	8.8
1882	9
1883	8.8
1884	9.4
1885	8.7
1886	8.9
1887	7.5
1888	7.8
1889	7.9
1890	7.9
1891	8
1892	8.9
1893	9.2
1894	8.8
1895	8.4
1896	8.2
1897	9.2
1898	9.4
1899	9.2
1900	9.5
1901	8.3
1902	8.5
1903	8.9
1904	9.4
1905	8.7
1906	9.1
1907	8.7
1908	8.2
1909	8.2
1910	9
1911	9.8
1912	8.8
1913	9.3
1914	8.9
1915	9.1
1916	9.4
1917	8.3
1918	9.2
1919	8.7
1920	9.4
1921	9.9
1922	8.5
1923	9.5
1924	8.6
1925	9
1926	9.7
1927	9.4
1928	9.9
1929	8.9
1930	9.8
1931	8.5
1932	8.9
1933	8.8
1934	9.9
1935	9.4
1936	9.5
1937	9.8
1938	9.3
1939	9.1
1940	8.2
1941	8.4
1942	8.8
1943	10.2
1944	9.3
1945	10
1946	9.5
1947	10.5
1948	9.9
1949	10.4
1950	10
1951	9.6
1952	9.7
1953	9.6
1954	9
1955	9.1
1956	7.9
1957	9.5
1958	9.6
1959	10.2
1960	9.6
1961	10.5
1962	8.6
1963	8.5
1964	9.8
1965	9.2
1966	9.9
1967	9.8
1968	9.3
1969	9
1970	9.2
1971	9.3
1972	8.9
1973	9.2
1974	10
1975	9.7
1976	10
1977	9.9
1978	9
1979	9.5
1980	8.9
1981	9.6
1982	10.3
1983	10.3
1984	9.5
1985	9
1986	9.4
1987	9.5
1988	10.5
1989	10.6
1990	10.9
1991	10
1992	10.7
1993	10.2
1994	11.5
1995	10.5
1996	9.4
1997	10.6
1998	10.6
1999	10.7
2000	11.4
2001	10.6
2002	11.2
2003	11.4
2004	10.6
2005	10.4
2006	10.9
2007	11.3
2008	10.8
2009	11.1
2010	9.9
2011	11.6
2012	10.9
2013	10.3
2014	12.6
