Bewertung	 Note 10	 Note 9	 Note 8	 Note 7	 Note 6	 Note 5	 Note 4	 Note 3	 Note 2	 Note 1	N
Freundlich 2012	254.468725	150.053121	262.595496	150.329873	64.067194	73.510639	32.560896	16.550627	5.413565	8.942592	1018.492728
Freundlich 2015	281.69063	158.456875	259.791358	144.592053	79.748866	55.231578	17.718667	9.389094	9.504496	1.381127	1017.504744
Freundlich 2018	327.5154652	260.7816084	414.1011583	210.5154947	86.36201385	121.4912708	52.02324704	39.2292346	24.57594352	20.41521876	1557.010655
.											
Handelt angemessen 2012	160.328536	107.616692	288.109581	186.186994	88.292192	97.860757	24.996098	14.393982	8.542338	10.005794	986.332964
Handelt angemessen 2015	162.279817	131.613845	285.114133	188.849523	79.673856	67.914958	24.151296	19.209106	4.669704	6.817263	970.293501
Handelt angemessen 2018	213.107855	221.4504846	285.8965601	157.351633	87.05282172	94.9393753	51.38037865	47.73830028	29.60478199	34.69661944	1223.21881
..											
Hilfsbereit 2012	304.645574	162.548226	273.74186	144.800596	52.798326	46.638937	16.806961	7.16869	2.175772	4.298542	1015.623484
Hilfsbereit 2015	304.62644	178.239548	264.026658	128.537308	66.788563	37.506961	20.455324	8.3181	1.686448	1.748483	1011.933833
Hilfsbereit 2018	412.5415848	346.6339924	306.0382812	145.5530569	78.76639016	73.20544389	42.82500832	30.78841902	29.41807807	20.55012032	1486.320375
...											
Sympathisch 2012	219.730689	125.485273	269.736072	173.829018	80.195168	90.395979	26.763815	10.182804	6.036662	13.449097	1015.804577
Sympathisch 2015	215.763558	142.167814	264.642164	150.35856	95.773348	89.432547	16.955062	14.91553	13.236556	1.89988	1005.145019
Sympathisch 2018	281.9859913	264.8306377	333.8888997	187.7381261	119.967895	109.0470322	53.68412269	64.17430076	36.75661567	46.28772818	1498.361349
....											
Respektvoll 2012	236.302643	142.04514	236.645819	158.135847	80.017494	84.422335	29.939892	20.9959	13.658629	11.918286	1014.081985
Respektvoll 2015	255.254413	149.804786	236.537685	151.283327	74.740429	71.070232	35.199593	17.097156	9.97731	6.196018	1007.160949
Respektvoll 2018	313.7344818	278.0815018	320.5329085	159.2220631	91.04434284	92.51069923	55.19184322	37.19475146	46.99591118	34.70509497	1429.213598
.....											
Nimmt Anliegen ernst 2012	212.258841	119.669306	285.806384	179.965184	67.36704	77.845544	28.418292	13.720581	10.140415	9.299692	1004.491279
Nimmt Anliegen ernst 2015	204.821932	153.65951	274.888139	171.0847	81.11608	64.697032	15.505548	8.075233	8.670537	5.622935	988.141646
Nimmt Anliegen ernst 2018	301.6926395	240.6053685	248.1542855	173.4198599	104.5370788	88.70691944	47.7398924	40.44066199	26.27111073	32.57839339	1304.14621
......											
Gerecht 2012	155.241507	120.232897	220.400368	183.216454	94.637457	87.572909	31.154947	23.956001	9.498291	9.821033	935.731864
Gerecht 2015	191.952141	140.741776	254.601993	158.63759	83.966825	64.945826	27.371608	6.405742	5.586726	6.097583	940.30781
Gerecht 2018	257.638807	248.0142625	274.0436331	165.169462	99.4475023	76.74892518	53.72599377	47.1079087	34.85406515	30.44827685	1287.198836
