""	"Erziehung, Unterricht"	"Gesundheits-, Sozialwesen"	"Kultur, Unterhaltung, pers. DL"	"Übrige Branchen"
"2008-1"	722	2505	943	557
"2008-2"	736	2733	924	541
"2008-3"	752	2571	859	498
"2008-4"	736	2559	806	469
"2009-1"	744	2598	832	467
"2009-2"	785	2655	866	470
"2009-3"	782	2656	864	462
"2009-4"	803	2672	861	466
"2010-1"	815	2690	910	488
"2010-2"	839	2745	907	490
"2010-3"	820	2745	898	486
"2010-4"	877	2648	869	510
"2011-1"	882	2673	843	496
"2011-2"	884	2672	856	504
"2011-3"	887	2672	872	501
"2011-4"	907	2705	826	495
"2012-1"	893	2751	817	483
"2012-2"	856	2788	848	494
"2012-3"	831	2839	858	488
"2012-4"	813	2840	857	484
"2013-1"	775	2843	820	470
"2013-2"	772	2905	838	476
"2013-3"	766	2985	824	466
"2013-4"	788	3012	798	458
"2014-1"	788	3056	812	442
"2014-2"	790	3109	798	449
"2014-3"	789	3169	795	438
"2014-4"	784	3186	807	435
"2015-1"	781	3199	835	452
"2015-2"	783	3230	856	448
"2015-3"	803	3262	847	447
"2015-4"	772	3269	859	444
"2016-1"	737	3369	898	460
"2016-2"	726	3415	868	456
"2016-3"	741	3512	891	458
"2016-4"	716	3493	869	456
"2017-1"	712	3511	876	468
"2017-2"	683	3544	858	457
"2017-3"	657	3564	864	444
"2017-4"	657	3562	860	448

