"Jahr"	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung, Immobilien"	"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	"Personalvermittlung, -überlassung"
2005	10093.792	14891.043	4098.555	4661.4431
2006	""	""	""	""
2007	""	""	""	""
2008	10619.222	15348.495	4580.4118	5837.4438
2009	""	""	""	""
2010	""	""	""	""
2011	10464.202	17699.673	5705.3372	5681.4206
2012	10237.4	18181.689	5643.2294	5846.6101
2013	10121.063	18830.173	5728.4669	6593.9912
2014	10186.207	19292.12	5862.8322	6483.8439
2015	10073.591	19171.37	5914.7854	6040.7746

