"Jahr"	"Öffentliche Verwaltung, Sozialversicherungen"	"Erziehung, Unterricht"	"Gesundheits-, Sozialwesen"	"Kultur, Unterhaltung, pers. DL"
2005	5002.9728	7011.5492	16357.829	5564.1538
2006	""	""	""	""
2007	""	""	""	""
2008	4577.7436	7499.0397	17160.299	5686.8856
2009	""	""	""	""
2010	""	""	""	""
2011	4783.1192	7602.2543	19388.595	7070.4517
2012	4996.6658	7717.1058	19185.7	7025.542
2013	5092.808	7668.5695	20372.638	7289.2383
2014	5172.4693	8010.3509	20700.077	7384.494
2015	5213.7553	7851.7071	21312.152	7526.6154

