"Branche"	"2016"	"2017"	"2018"
"Industrie (exkl. Chemie, Pharma)"	0.030	0.039	0.033
"Chemie, Pharma"	0.072	0.075	0.068
"Baugewerbe"	0.017	0.011	0.015
"Handel, Reparatur"	0.030	0.024	0.026
"Verkehr, Lagerei, Kommunikation"	0.018	0.013	0.018
"Gastgewerbe"	0.026	0.021	0.017
"Finanz-, Versicherungs-DL"	0.005	0.004	0.005
"Beratung, Planung, Forschung, Immobilien, IT, Personalvermittlung, andere DL"	0.076	0.079	0.093
"Öffentliche Verwaltung, Sozialversicherungen"	0.004	0.005	0.004
"Erziehung, Unterricht"	0.026	0.025	0.023
"Gesundheits-, Sozialwesen"	0.012	0.012	0.011
"Kultur, Unterhaltung, pers. DL"	0.023	0.028	0.026
"Total"	0.037	0.038	0.040

