	 Sehr gut	 Eher gut	 Eher nicht so gut	 Gar nicht gut	 Weiss nicht / keine Angabe
2015 Total	313	585	87	11	5
2015 Schweiz	276	522	74	7	5
2015 Ausland	37	63	13	4	0
.					
2011 Total	318	562	97	29	3
2011 Schweiz	283	485	81	22	2
2011 Ausland	35	77	16	7	1
..					
2007 Total	151	499	98	12	2
2007 Schweiz	136	433	80	8	2
2007 Ausland	15	66	18	4	0
...					
2005 Total	145	513	100	21	3
2005 Schweiz	122	454	79	18	2
2005 Ausland	23	59	21	3	1
....					
2003 Total	314	926	212	31	14
2003 Schweiz	288	792	178	24	9
2003 Ausland	26	134	34	7	5
