	 Sehr	 Eher	 Eher nicht	 Gar nicht	 Weiss nicht/keine Angabe	 Anzahl
Total 2015	446	647	313	93	7	1506
Schweiz	418	575	264	72	4	1333
Ausland	28	72	49	21	3	173
Total 2011	428	618	348	118	4	 1'516 
Schweiz	383	540	292	84	3	 1'302 
Ausland	45	78	56	34	1	 214 
Total 2007	357	603	355	194	0	 1'509 
Schweiz	339	545	303	144	0	 1'331 
Ausland	18	58	52	50	0	 178 
Total 2005	394	635	325	156	0	 1'510 
Schweiz	370	548	272	110	0	 1'300 
Ausland	24	87	53	46	0	 210 
Total 2003	328	586	370	213	0	 1'497 
Schweiz	308	517	309	157	0	 1'291 
Ausland	20	69	61	56	0	 206 
