"Datum"	"Jahr"	"Monat"	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung, Immobilien"	"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	"Personalvermittlung, -überlassung"
"2008-01"	2008	"Januar"	45	130	169	76
"2008-02"	2008	"Februar"	45	137	174	71
"2008-03"	2008	"März"	46	122	172	67
"2008-04"	2008	"April"	45	117	149	73
"2008-05"	2008	"Mai"	47	111	157	70
"2008-06"	2008	"Juni"	49	106	158	60
"2008-07"	2008	"Juli"	45	110	155	68
"2008-08"	2008	"August"	48	113	153	73
"2008-09"	2008	"September"	47	119	161	79
"2008-10"	2008	"Oktober"	51	131	148	77
"2008-11"	2008	"November"	58	148	155	83
"2008-12"	2008	"Dezember"	64	164	164	89
"2009-01"	2009	"Januar"	68	161	165	90
"2009-02"	2009	"Februar"	71	158	173	82
"2009-03"	2009	"März"	70	165	179	81
"2009-04"	2009	"April"	66	165	170	91
"2009-05"	2009	"Mai"	70	170	171	93
"2009-06"	2009	"Juni"	87	203	182	133
"2009-07"	2009	"Juli"	99	230	185	149
"2009-08"	2009	"August"	105	229	197	167
"2009-09"	2009	"September"	104	249	212	217
"2009-10"	2009	"Oktober"	116	267	227	253
"2009-11"	2009	"November"	124	266	224	306
"2009-12"	2009	"Dezember"	127	276	232	434
"2010-01"	2010	"Januar"	128	271	255	444
"2010-02"	2010	"Februar"	128	263	252	409
"2010-03"	2010	"März"	127	258	242	371
"2010-04"	2010	"April"	127	250	235	309
"2010-05"	2010	"Mai"	130	240	252	286
"2010-06"	2010	"Juni"	128	224	246	230
"2010-07"	2010	"Juli"	132	217	251	205
"2010-08"	2010	"August"	125	231	249	217
"2010-09"	2010	"September"	121	233	243	251
"2010-10"	2010	"Oktober"	110	231	234	284
"2010-11"	2010	"November"	101	229	245	346
"2010-12"	2010	"Dezember"	104	239	247	509
"2011-01"	2011	"Januar"	94	256	247	497
"2011-02"	2011	"Februar"	87	245	252	432
"2011-03"	2011	"März"	86	247	255	403
"2011-04"	2011	"April"	80	240	228	317
"2011-05"	2011	"Mai"	83	221	237	256
"2011-06"	2011	"Juni"	87	224	233	203
"2011-07"	2011	"Juli"	90	239	224	163
"2011-08"	2011	"August"	77	237	237	142
"2011-09"	2011	"September"	82	251	243	121
"2011-10"	2011	"Oktober"	80	262	234	103
"2011-11"	2011	"November"	79	260	237	96
"2011-12"	2011	"Dezember"	83	269	240	91
"2012-01"	2012	"Januar"	93	287	240	83
"2012-02"	2012	"Februar"	103	295	233	79
"2012-03"	2012	"März"	101	286	220	78
"2012-04"	2012	"April"	112	280	234	70
"2012-05"	2012	"Mai"	118	296	243	70
"2012-06"	2012	"Juni"	113	278	224	66
"2012-07"	2012	"Juli"	117	254	221	65
"2012-08"	2012	"August"	123	250	215	61
"2012-09"	2012	"September"	129	262	230	50
"2012-10"	2012	"Oktober"	129	275	231	46
"2012-11"	2012	"November"	132	283	245	35
"2012-12"	2012	"Dezember"	125	298	253	34
"2013-01"	2013	"Januar"	137	300	255	36
"2013-02"	2013	"Februar"	134	297	264	32
"2013-03"	2013	"März"	134	303	259	31
"2013-04"	2013	"April"	142	299	258	26
"2013-05"	2013	"Mai"	133	304	248	25
"2013-06"	2013	"Juni"	127	291	239	31
"2013-07"	2013	"Juli"	129	303	225	33
"2013-08"	2013	"August"	117	320	230	35
"2013-09"	2013	"September"	125	317	240	32
"2013-10"	2013	"Oktober"	121	308	261	36
"2013-11"	2013	"November"	129	312	255	37
"2013-12"	2013	"Dezember"	128	328	268	40
"2014-01"	2014	"Januar"	124	343	270	36
"2014-02"	2014	"Februar"	118	348	279	37
"2014-03"	2014	"März"	119	337	270	35
"2014-04"	2014	"April"	124	320	271	30
"2014-05"	2014	"Mai"	113	296	256	30
"2014-06"	2014	"Juni"	105	298	250	27
"2014-07"	2014	"Juli"	100	314	238	25
"2014-08"	2014	"August"	103	290	237	23
"2014-09"	2014	"September"	112	282	231	19
"2014-10"	2014	"Oktober"	112	293	241	19
"2014-11"	2014	"November"	112	297	251	26
"2014-12"	2014	"Dezember"	115	297	273	29
"2015-01"	2015	"Januar"	120	312	288	32
"2015-02"	2015	"Februar"	118	306	288	33
"2015-03"	2015	"März"	118	319	293	37
"2015-04"	2015	"April"	124	330	277	28
"2015-05"	2015	"Mai"	122	323	275	27
"2015-06"	2015	"Juni"	113	323	263	32
"2015-07"	2015	"Juli"	120	328	261	25
"2015-08"	2015	"August"	123	335	257	27
"2015-09"	2015	"September"	119	346	253	28
"2015-10"	2015	"Oktober"	123	334	261	29
"2015-11"	2015	"November"	113	324	271	28
"2015-12"	2015	"Dezember"	110	343	297	31
"2016-01"	2016	"Januar"	108	362	298	33
"2016-02"	2016	"Februar"	121	360	317	34
"2016-03"	2016	"März"	115	352	293	30
"2016-04"	2016	"April"	126	364	301	29
