"Datum"	"Erziehung, Unterricht"	"Gesundheits-, Sozialwesen"	"Kultur, Unterhaltung, pers. DL"
"2008-01"	111	216	138
"2008-02"	106	217	141
"2008-03"	103	224	137
"2008-04"	97	218	131
"2008-05"	99	213	142
"2008-06"	101	209	144
"2008-07"	105	226	143
"2008-08"	101	228	133
"2008-09"	88	221	139
"2008-10"	80	218	150
"2008-11"	74	212	147
"2008-12"	80	210	146
"2009-01"	83	204	143
"2009-02"	81	199	135
"2009-03"	92	197	148
"2009-04"	95	207	144
"2009-05"	88	213	137
"2009-06"	134	241	141
"2009-07"	170	263	167
"2009-08"	183	258	161
"2009-09"	179	278	176
"2009-10"	176	294	175
"2009-11"	171	293	168
"2009-12"	174	299	186
"2010-01"	172	293	199
"2010-02"	157	272	196
"2010-03"	148	258	193
"2010-04"	143	277	192
"2010-05"	131	275	188
"2010-06"	129	266	206
"2010-07"	133	296	219
"2010-08"	128	307	221
"2010-09"	128	314	221
"2010-10"	123	298	216
"2010-11"	111	281	220
"2010-12"	106	277	231
"2011-01"	112	294	252
"2011-02"	100	280	271
"2011-03"	93	265	276
"2011-04"	79	240	246
"2011-05"	78	253	237
"2011-06"	89	249	227
"2011-07"	102	269	228
"2011-08"	108	300	225
"2011-09"	112	295	206
"2011-10"	107	282	195
"2011-11"	103	269	200
"2011-12"	103	258	201
"2012-01"	116	264	211
"2012-02"	119	255	208
"2012-03"	115	264	217
"2012-04"	105	266	218
"2012-05"	101	263	218
"2012-06"	103	268	205
"2012-07"	120	290	210
"2012-08"	123	312	210
"2012-09"	134	318	209
"2012-10"	139	320	203
"2012-11"	128	318	202
"2012-12"	127	316	208
"2013-01"	135	318	209
"2013-02"	142	308	204
"2013-03"	136	314	203
"2013-04"	131	319	191
"2013-05"	119	311	173
"2013-06"	129	280	180
"2013-07"	151	308	191
"2013-08"	140	322	188
"2013-09"	140	332	178
"2013-10"	153	333	169
"2013-11"	147	328	176
"2013-12"	155	339	184
"2014-01"	152	327	176
"2014-02"	152	320	167
"2014-03"	147	325	157
"2014-04"	141	314	152
"2014-05"	141	300	156
"2014-06"	137	286	159
"2014-07"	160	307	164
"2014-08"	165	316	166
"2014-09"	157	320	171
"2014-10"	148	296	171
"2014-11"	145	301	175
"2014-12"	150	294	177
"2015-01"	154	317	182
"2015-02"	153	302	173
"2015-03"	159	310	170
"2015-04"	146	308	177
"2015-05"	150	294	179
"2015-06"	144	288	184
"2015-07"	154	297	192
"2015-08"	172	323	202
"2015-09"	170	337	204
"2015-10"	162	331	203
"2015-11"	148	325	203
"2015-12"	136	300	193
"2016-01"	151	283	198
"2016-02"	158	317	201
"2016-03"	158	319	202
"2016-04"	163	326	210
"2016-05"	162	336	209
"2016-06"	164	322	191
"2016-07"	164	324	180
"2016-08"	188	345	182
"2016-09"	189	333	168
"2016-10"	172	331	175
"2016-11"	160	339	180
"2016-12"	151	338	176
"2017-01"	157	365	190
"2017-02"	152	359	184
"2017-03"	151	357	180
"2017-04"	155	367	169
"2017-05"	153	356	169
"2017-06"	151	360	176
"2017-07"	164	365	171
"2017-08"	171	397	178
"2017-09"	160	379	166
"2017-10"	154	381	167
"2017-11"	156	378	163
"2017-12"	154	380	170

