"Datum"	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung, Immobilien, IT, Personalvermittlung, andere DL"	"Öffentliche Verwaltung, Sozialversicherungen"
"2009-01"	16	419	6
"2009-02"	13	418	8
"2009-03"	15	506	8
"2009-04"	20	444	10
"2010-01"	12	439	6
"2010-02"	11	477	6
"2010-03"	28	605	10
"2010-04"	16	499	3
"2011-01"	23	520	9
"2011-02"	19	586	7
"2011-03"	14	719	9
"2011-04"	12	627	6
"2012-01"	12	704	3
"2012-02"	12	620	5
"2012-03"	16	670	9
"2012-04"	18	609	11
"2013-01"	15	700	5
"2013-02"	9	721	5
"2013-03"	18	796	10
"2013-04"	11	654	4
"2014-01"	10	727	5
"2014-02"	16	942	4
"2014-03"	8	867	5
"2014-04"	17	768	4
"2015-01"	24	823	8
"2015-02"	17	738	4
"2015-03"	24	806	15
"2015-04"	14	751	6
"2016-01"	16	847	6
"2016-02"	12	789	5
"2016-03"	12	898	12
"2016-04"	11	668	1
"2017-01"	10	1056	5
"2017-02"	16	842	7
"2017-03"	13	826	10
"2017-04"	5	690	6

