Jahr	 1- und 2-Sterne	 3-Sterne	 4- und 5-Sterne	 Nicht klassiert	 Total
2010	51.65958904	51.19279554	109.7727854	16.08122482	55.45454917
2011	51.77089041	51.88310502	112.550137	17.40924658	57.30016604
2012	47.05191257	53.51954603	111.8100182	12.38041194	57.48828448
2013	50.90361146	53.00854795	107.4643836	11.65753425	58.50740582
2014	55.1633873	53.56591781	99.80608828	12.78547945	60.47358733
2015	65.97708593	54.73380822	101.3768645	15.0859589	65.15426425
2016	71.89972678	55.81799075	95.48542805	20.20846995	63.92324112
2017	73.64876712	62.41896733	97.16518936	28.84794521	67.03637513
2018	72.68767123	63.31043203	99.52667204	28.86712329	67.86625922
2019	78.7500761	67.60317808	95.90030441	31.08667497	70.90458795
Ø 2010-2019	61.95127179	56.70542888	103.0857871	19.44100693	62.41087205

