Jahr	Bevölkerung Stadt Basel
1774	15 040
1815	16 674
1835	21 219
1837	22 199
1847	25 787
1850	27 170
1860	37 915
1870	44 122
1880	60 550
1888	69 809
1900	109 161
1910	132 276
1920	135 976
1930	148 063
1941	162 105
1950	183 543
1960	206 746
1970	212 857
1971	209 948
1972	207 297
1973	204 642
1974	201 039
1975	197 809
1976	193 806
1977	190 474
1978	187 984
1979	185 980
1980	184 490
1981	182 944
1982	181 967
1983	181 373
1984	180 703
1985	180 290
1986	177 985
1987	176 843
1988	175 233
1989	174 679
1990	175 257
1991	176 902
1992	177 181
1993	177 835
1994	177 106
1995	175 855
1996	174 350
1997	172 235
1998	170 242
1999	168 294
2000	166 848
2001	165 548
2002	166 120
2003	166 286
2004	166 646
2005	166 203
2006	165 968
2007	166 217
2008	167 763
2009	169 037
2010	168 804
2011	170 331
2012	171 428
2013	173 330
2014	174 286
2015	175 131
2016	176 015
2017	176 461
