"WV"	"Deutschland"	"Ukraine"	"Italien"	"Spanien"	"Frankreich"	"Übriges Ausland"
"Altstadt Grossbasel"	24.22	2.48	6.21	6.21	6.83	54.04
"Vorstädte"	25.08	0.93	8.36	7.12	8.05	50.46
"Am Ring"	23.47	0.32	7.07	5.63	8.36	55.14
"Breite"	32.52	0	7.28	3.88	6.31	50.00
"St. Alban"	21.34	0.20	2.17	4.15	4.15	67.98
"Gundeldingen"	33.39	0	7.13	6.00	6.81	46.68
"Bruderholz"	31.03	0	4.60	4.02	8.05	52.30
"Bachletten"	33.80	0.94	6.57	4.23	4.23	50.23
"Gotthelf"	31.15	0.55	2.19	8.20	8.20	49.73
"Iselin"	28.20	0.47	7.11	9.48	9.48	45.26
"St. Johann"	24.13	0.93	5.60	6.27	5.33	57.73
"Altstadt Kleinbasel"	33.72	0	6.98	2.33	8.14	48.84
"Clara"	28.11	1.07	9.61	9.25	4.63	47.33
"Wettstein"	25.97	0	2.92	7.47	5.19	58.44
"Hirzbrunnen"	37.40	0	7.32	5.69	4.88	44.72
"Rosental"	24.20	0.57	4.73	6.81	5.10	58.60
"Matthäus"	24.65	0.31	7.33	8.89	5.93	52.89
"Klybeck"	24.89	0	8.58	9.44	7.30	49.79
"Kleinhüningen"	24.66	0	10.96	9.59	15.07	39.73
"Riehen"	54.82	0	3.32	1.66	2.99	37.21
"Bettingen"	75.00	0	0	0	0	25.00
"Kanton BS"	28.17	0.44	6.05	6.45	6.30	52.58

