"WohnviertelId"	"Wohnviertel"	"Saldo"	"Wanderung"	"Umzug"
1	"Altstadt Grossbasel"	1.2744	1.1244	0.1499
2	"Vorstädte"	-3.3347	1.7283	-5.0630
3	"Am Ring"	-0.1598	0.5770	-0.7367
4	"Breite"	-2.1207	-2.0643	-0.0564
5	"St. Alban"	2.2744	0.6104	1.6640
6	"Gundeldingen"	-0.5437	-0.6810	0.1372
7	"Bruderholz"	-0.4450	-1.5362	1.0912
8	"Bachletten"	-0.5770	-1.2270	0.6500
9	"Gotthelf"	-0.7508	-0.9716	0.2208
10	"Iselin"	-1.9718	-1.3423	-0.6296
11	"St. Johann"	0.5036	-0.2227	0.7263
12	"Altstadt Kleinbasel"	-1.6518	0.5506	-2.2025
13	"Clara"	7.9208	2.2105	5.7103
14	"Wettstein"	-1.6849	1.0596	-2.7445
15	"Hirzbrunnen"	-0.0856	-1.3694	1.2838
16	"Rosental"	-2.0916	-0.2631	-1.8285
17	"Matthäus"	-2.2369	-0.3782	-1.8586
18	"Klybeck"	-2.7618	-1.0788	-1.6830
19	"Kleinhüningen"	-2.6555	-2.1826	-0.4729
20	"Riehen"	0.2698	-0.6081	0.8778
30	"Bettingen"	6.7524	0.8039	5.9486

