	 Median 2013	 Median Basel-Stadt 2013	 Median 2022	 Median Basel-Stadt 2022
Altstadt GB	52323	48816	53825	53825
Vorstädte 	54154	48816	64590	53825
Am Ring 	51749	48816	58998	53825
Breite 	46468	48816	47981	53825
St. Alban 	61825	48816	65125	53825
Gundeldingen 	47000	48816	50845	53825
Bruderholz 	64030	48816	66882	53825
Bachletten 	57961	48816	60712	53825
Gotthelf 	50445	48816	53051	53825
Iselin 	44795	48816	45149	53825
St. Johann 	41782	48816	44185	53825
Altstadt KB	42804	48816	46803	53825
Clara 	39851	48816	44184	53825
Wettstein 	53849	48816	57389	53825
Hirzbrunnen 	50534	48816	53635	53825
Rosental 	40602	48816	48835	53825
Matthäus 	38437	48816	42025	53825
Klybeck 	38251	48816	37996	53825
Kleinhüning. 	41468	48816	40440	53825
Riehen 	62567	48816	64063	53825
Bettingen	66544	48816	68431	53825







