Jahr	Wohnviertel_Id	Wohnviertel	Deutschland	Italien	Türkei	Spanien	Portugal	Mazedonien	Serbien, Montenegro, Kosovo	Bosnien und Herzegowina	Slowenien	Kroatien	Vereinigtes Königreich	Frankreich	Indien	Vereinigte Staaten	Österreich	Sri Lanka	Übrige
2004	1	Altstadt Grossbasel	136	39	9	18	10		4		1		31	25	1	28	22	2	106
2005	1	Altstadt Grossbasel	166	38	8	22	7		2		1	1	34	24	4	32	24	2	101
2006	1	Altstadt Grossbasel	177	35	8	24	7		2		1	1	40	24	9	39	20	2	93
2007	1	Altstadt Grossbasel	192	36	7	23	8		2		1	2	39	22	12	38	21	2	128
2008	1	Altstadt Grossbasel	188	42	6	18	10		3		1	2	36	30	5	42	17	2	114
2009	1	Altstadt Grossbasel	165	46	1	27	7		4			3	29	22	2	42	25		113
2010	1	Altstadt Grossbasel	164	55	2	23	9		3				44	18	2	45	17		113
2011	1	Altstadt Grossbasel	164	63	16	30	14	3	7	1		1	45	19	7	52	21	2	130
2012	1	Altstadt Grossbasel	159	70	12	27	14	3	10	1	1	2	52	20	7	60	27	3	138
2013	1	Altstadt Grossbasel	170	83	13	27	12	3	6			2	57	21	7	64	25	3	147
2014	1	Altstadt Grossbasel	169	70	14	32	18	2	9			3	52	27	7	65	21	1	127
2015	1	Altstadt Grossbasel	168	66	16	35	18	2	8		2	3	44	30	6	63	20	1	142
2016	1	Altstadt Grossbasel	194	67	22	41	18	3	4		2	2	44	33	4	78	20	2	155
2017	1	Altstadt Grossbasel	218	67	27	39	19	5	6	1	2	2	46	46	6	75	16	1	160
2004	2	Vorstädte	259	142	71	60	17	13	24	6		14	50	36	21	43	30	11	299
2005	2	Vorstädte	300	153	75	66	18	16	20	4		15	70	43	26	41	30	8	285
2006	2	Vorstädte	366	142	71	57	20	19	27	6	2	20	70	51	40	41	35	9	311
2007	2	Vorstädte	378	155	66	51	18	26	27	6	2	15	61	56	32	55	28	10	318
2008	2	Vorstädte	425	166	66	43	24	25	27	7	1	17	78	62	37	62	29	12	320
2009	2	Vorstädte	453	171	67	45	30	25	21	4	1	14	103	46	43	86	34	11	348
2010	2	Vorstädte	432	153	61	48	30	19	27	4		14	115	52	36	86	28	12	365
2011	2	Vorstädte	432	169	49	55	28	19	27	4	1	13	111	62	46	84	34	9	374
2012	2	Vorstädte	420	189	47	47	36	15	18	3	1	13	126	62	43	80	38	7	413
2013	2	Vorstädte	421	202	45	63	29	9	22	5		22	144	69	47	104	46	9	448
2014	2	Vorstädte	412	211	43	65	32	9	25	3	3	21	137	84	44	117	41	8	465
2015	2	Vorstädte	454	209	43	81	32	10	28	2	2	18	146	88	57	112	36	10	489
2016	2	Vorstädte	451	219	48	108	32	10	34	1	3	22	135	115	56	113	49	9	515
2017	2	Vorstädte	445	220	45	122	36	12	34	1	7	16	138	129	52	122	41	10	496
2004	3	Am Ring	664	364	161	140	95	54	161	46	6	56	93	87	46	73	72	32	662
2005	3	Am Ring	761	357	159	135	85	45	158	42	7	51	111	88	60	75	74	29	655
2006	3	Am Ring	793	351	144	127	89	48	149	34	6	40	123	100	69	84	76	23	672
2007	3	Am Ring	867	350	145	125	97	50	132	18	5	40	140	122	54	96	70	26	668
2008	3	Am Ring	926	361	136	132	102	52	140	24	6	30	145	118	55	104	71	31	693
2009	3	Am Ring	958	365	129	143	104	44	113	22	3	35	152	123	71	95	70	23	771
2010	3	Am Ring	912	363	137	154	107	39	92	21	5	34	139	116	78	104	61	16	800
2011	3	Am Ring	929	363	146	182	108	31	94	19	5	30	163	115	91	137	64	17	832
2012	3	Am Ring	917	367	142	196	115	33	93	25	5	25	178	119	106	129	67	13	895
2013	3	Am Ring	968	370	127	213	126	29	90	26	7	22	168	129	100	147	73	15	976
2014	3	Am Ring	943	381	127	212	115	31	104	24	9	24	185	135	102	158	73	8	984
2015	3	Am Ring	935	415	126	220	109	28	109	24	13	25	186	162	78	165	77	11	931
2016	3	Am Ring	961	455	128	209	123	31	109	25	13	24	210	175	88	166	74	14	939
2017	3	Am Ring	984	460	113	221	133	33	99	24	19	28	211	201	117	175	71	18	1006
2004	4	Breite	319	377	348	161	66	102	190	37	5	69	48	39	30	24	39	44	295
2005	4	Breite	347	361	328	160	78	119	188	41	5	71	47	52	24	19	35	41	333
2006	4	Breite	382	342	339	143	101	114	188	51	4	73	44	46	25	22	40	39	346
2007	4	Breite	462	329	313	132	113	114	176	49	4	64	42	52	31	28	43	31	380
2008	4	Breite	520	324	287	132	113	115	172	46	4	60	36	48	27	26	48	28	417
2009	4	Breite	540	321	278	116	112	112	170	45	4	48	40	52	18	31	50	28	418
2010	4	Breite	565	313	287	113	114	121	180	45	5	50	33	58	16	36	48	25	442
2011	4	Breite	567	324	283	121	131	117	190	41	5	50	37	53	20	32	50	23	503
2012	4	Breite	583	343	282	144	150	124	190	40	5	48	40	62	27	34	53	25	522
2013	4	Breite	601	343	282	153	162	132	181	38	6	52	61	65	23	33	58	30	547
2014	4	Breite	591	360	284	152	164	131	193	38	5	47	65	66	24	37	55	27	591
2015	4	Breite	583	355	276	169	159	143	194	32	5	53	72	73	30	34	44	27	622
2016	4	Breite	603	368	264	164	168	135	188	36	7	54	66	72	33	35	47	30	625
2017	4	Breite	610	376	271	156	166	134	184	29	8	51	64	75	22	28	55	33	664
2004	5	St. Alban	435	280	159	161	32	40	77	29	2	21	129	91	23	124	53	16	470
2005	5	St. Alban	484	265	176	170	42	41	83	30	2	30	142	86	42	104	55	17	511
2006	5	St. Alban	562	296	178	180	46	49	80	26	2	29	156	124	47	129	50	17	529
2007	5	St. Alban	621	279	157	162	43	43	80	30	4	25	163	151	37	141	53	19	566
2008	5	St. Alban	685	279	162	170	48	47	80	28	5	20	195	149	37	181	52	18	613
2009	5	St. Alban	700	280	153	156	52	48	91	23	4	21	208	132	38	169	58	18	709
2010	5	St. Alban	683	291	161	158	64	50	92	18	9	21	204	137	54	190	64	16	742
2011	5	St. Alban	712	288	166	176	69	55	102	21	11	21	212	143	48	187	70	15	744
2012	5	St. Alban	724	295	175	183	61	60	109	22	12	22	223	155	55	189	63	11	783
2013	5	St. Alban	742	305	184	195	73	52	109	25	14	21	244	159	76	201	55	16	808
2014	5	St. Alban	750	325	187	222	76	49	97	25	12	24	231	189	99	206	65	16	787
2015	5	St. Alban	769	318	194	217	87	57	81	26	10	18	224	212	85	190	63	15	820
2016	5	St. Alban	780	351	200	201	97	60	89	25	8	17	227	237	90	176	62	17	810
2017	5	St. Alban	801	355	214	214	109	66	84	28	9	24	207	222	98	177	65	18	1003
2004	6	Gundeldingen	878	1208	1476	347	181	240	1007	235	12	228	116	110	83	57	99	129	853
2005	6	Gundeldingen	1002	1136	1452	318	191	224	959	219	10	208	127	125	83	55	104	129	854
2006	6	Gundeldingen	1142	1105	1382	301	186	251	956	202	9	195	129	131	104	50	104	138	903
2007	6	Gundeldingen	1273	1042	1345	291	168	244	869	175	9	173	157	152	82	69	103	133	933
2008	6	Gundeldingen	1386	1032	1268	287	166	250	813	148	12	142	182	148	71	75	116	120	998
2009	6	Gundeldingen	1471	982	1223	279	161	250	763	139	15	144	187	168	72	85	118	135	1086
2010	6	Gundeldingen	1408	959	1185	271	137	269	726	131	15	131	196	149	61	79	113	125	1140
2011	6	Gundeldingen	1505	934	1147	262	153	277	738	127	19	128	191	160	77	85	101	104	1207
2012	6	Gundeldingen	1502	930	1118	282	165	276	747	123	18	121	178	174	93	102	107	99	1237
2013	6	Gundeldingen	1516	936	1102	291	210	274	726	135	12	121	184	169	130	100	111	104	1277
2014	6	Gundeldingen	1537	956	1081	311	187	273	707	126	13	120	172	177	119	98	113	100	1333
2015	6	Gundeldingen	1519	945	1053	320	180	270	691	120	16	116	173	195	121	91	115	107	1432
2016	6	Gundeldingen	1508	941	1041	349	173	271	667	113	10	114	170	169	118	80	117	99	1435
2017	6	Gundeldingen	1523	941	1006	366	182	243	653	103	9	118	183	194	115	83	125	96	1456
2004	7	Bruderholz	397	176	105	40	24	9	31	9	4	7	100	35	1	77	41	7	274
2005	7	Bruderholz	450	176	105	40	23	10	27	7	5	9	94	42	2	81	50	5	299
2006	7	Bruderholz	481	165	97	43	27	10	30	6	4	12	112	49	2	64	43	5	306
2007	7	Bruderholz	538	174	81	39	30	10	29	3	4	14	130	57	7	77	42	5	328
2008	7	Bruderholz	566	173	75	37	36	12	25	2	4	21	135	57	8	76	43	4	346
2009	7	Bruderholz	600	189	77	39	53	8	27	2	5	22	141	67	11	88	44	3	362
2010	7	Bruderholz	612	207	80	39	50	9	33	2	6	18	140	75	7	95	55		362
2011	7	Bruderholz	623	224	80	48	60	11	36	3	5	16	156	84	8	114	65	4	365
2012	7	Bruderholz	638	236	86	45	67	16	38	3	2	18	170	98	8	99	68	3	397
2013	7	Bruderholz	672	243	78	60	55	12	50	3	3	20	154	107	9	95	72	3	428
2014	7	Bruderholz	653	231	78	75	60	13	47	3	3	19	161	116	8	92	64	3	456
2015	7	Bruderholz	684	227	74	71	51	11	38	4	2	17	155	147	16	103	64	2	429
2016	7	Bruderholz	737	241	74	80	48	15	35	2	2	18	146	148	16	116	61	2	483
2017	7	Bruderholz	705	258	80	82	56	15	33	2	3	20	136	131	25	112	64	3	492
2004	8	Bachletten	570	311	118	108	41	37	114	21	7	30	89	95	13	86	72	17	357
2005	8	Bachletten	632	306	113	115	45	31	118	15	5	32	95	96	12	81	73	11	382
2006	8	Bachletten	655	309	126	110	50	31	126	16	4	39	96	97	19	84	82	17	397
2007	8	Bachletten	697	307	128	106	56	35	123	18	4	41	88	98	18	104	88	14	407
2008	8	Bachletten	723	315	128	111	51	26	100	15	2	39	99	109	10	115	88	13	417
2009	8	Bachletten	814	334	126	105	51	23	92	13	2	37	105	134	10	100	94	12	417
2010	8	Bachletten	856	344	116	111	53	26	76	13	3	39	113	126	12	94	79	11	424
2011	8	Bachletten	876	351	118	112	57	26	76	13	3	37	122	132	15	97	82	15	451
2012	8	Bachletten	907	355	130	123	66	31	75	13	6	39	127	121	5	102	76	15	476
2013	8	Bachletten	893	366	131	143	59	39	78	14	12	34	135	133	38	100	74	14	501
2014	8	Bachletten	900	388	124	141	82	40	76	13	13	34	125	129	40	97	69	14	552
2015	8	Bachletten	921	381	113	134	76	33	86	15	15	30	136	119	50	90	74	17	610
2016	8	Bachletten	950	381	107	126	77	35	77	15	11	29	138	133	46	89	70	15	650
2017	8	Bachletten	956	356	108	120	103	29	88	9	12	28	138	137	26	81	71	15	621
2004	9	Gotthelf	334	233	115	78	46	27	100	24	4	34	41	39	22	11	43	22	254
2005	9	Gotthelf	392	236	112	83	38	19	96	27	4	29	41	37	19	16	39	27	236
2006	9	Gotthelf	398	222	99	95	39	17	85	24	5	28	52	35	11	20	41	27	239
2007	9	Gotthelf	465	226	96	98	48	18	79	17	6	24	53	38	22	27	46	21	250
2008	9	Gotthelf	494	218	90	96	42	21	72	19	7	33	50	51	26	16	47	27	286
2009	9	Gotthelf	546	220	92	90	48	17	77	16	6	33	61	63	21	21	50	28	320
2010	9	Gotthelf	560	222	88	95	49	17	79	9	6	27	67	64	23	26	57	31	328
