Jahr	Monat	Zimmerzahl	Wohnungen	Wohnviertel_Id	Wohnviertel_name
2017	12	1 Zimmer	255	1	Altstadt Grossbasel
2017	12	2 Zimmer	380	1	Altstadt Grossbasel
2017	12	3 Zimmer	350	1	Altstadt Grossbasel
2017	12	4 Zimmer	248	1	Altstadt Grossbasel
2017	12	5 Zimmer	114	1	Altstadt Grossbasel
2017	12	6 u.m. Zimmer	88	1	Altstadt Grossbasel
2017	12	1 Zimmer	841	2	Vorstädte
2017	12	2 Zimmer	697	2	Vorstädte
2017	12	3 Zimmer	907	2	Vorstädte
2017	12	4 Zimmer	564	2	Vorstädte
2017	12	5 Zimmer	262	2	Vorstädte
2017	12	6 u.m. Zimmer	143	2	Vorstädte
2017	12	1 Zimmer	1088	3	Am Ring
2017	12	2 Zimmer	1332	3	Am Ring
2017	12	3 Zimmer	1875	3	Am Ring
2017	12	4 Zimmer	1183	3	Am Ring
2017	12	5 Zimmer	384	3	Am Ring
2017	12	6 u.m. Zimmer	406	3	Am Ring
2017	12	1 Zimmer	269	4	Breite
2017	12	2 Zimmer	1436	4	Breite
2017	12	3 Zimmer	2685	4	Breite
2017	12	4 Zimmer	674	4	Breite
2017	12	5 Zimmer	180	4	Breite
2017	12	6 u.m. Zimmer	64	4	Breite
2017	12	1 Zimmer	447	5	St. Alban
2017	12	2 Zimmer	1171	5	St. Alban
2017	12	3 Zimmer	2105	5	St. Alban
2017	12	4 Zimmer	1460	5	St. Alban
2017	12	5 Zimmer	545	5	St. Alban
2017	12	6 u.m. Zimmer	509	5	St. Alban
2017	12	1 Zimmer	1497	6	Gundeldingen
2017	12	2 Zimmer	2872	6	Gundeldingen
2017	12	3 Zimmer	4487	6	Gundeldingen
2017	12	4 Zimmer	1839	6	Gundeldingen
2017	12	5 Zimmer	365	6	Gundeldingen
2017	12	6 u.m. Zimmer	93	6	Gundeldingen
2017	12	1 Zimmer	105	7	Bruderholz
2017	12	2 Zimmer	474	7	Bruderholz
2017	12	3 Zimmer	1149	7	Bruderholz
2017	12	4 Zimmer	1103	7	Bruderholz
2017	12	5 Zimmer	631	7	Bruderholz
2017	12	6 u.m. Zimmer	922	7	Bruderholz
2017	12	1 Zimmer	377	8	Bachletten
2017	12	2 Zimmer	1062	8	Bachletten
2017	12	3 Zimmer	2919	8	Bachletten
2017	12	4 Zimmer	1233	8	Bachletten
2017	12	5 Zimmer	752	8	Bachletten
2017	12	6 u.m. Zimmer	893	8	Bachletten
2017	12	1 Zimmer	592	9	Gotthelf
2017	12	2 Zimmer	966	9	Gotthelf
2017	12	3 Zimmer	1542	9	Gotthelf
2017	12	4 Zimmer	595	9	Gotthelf
2017	12	5 Zimmer	249	9	Gotthelf
2017	12	6 u.m. Zimmer	180	9	Gotthelf
2017	12	1 Zimmer	924	10	Iselin
2017	12	2 Zimmer	3003	10	Iselin
2017	12	3 Zimmer	3973	10	Iselin
2017	12	4 Zimmer	1372	10	Iselin
2017	12	5 Zimmer	262	10	Iselin
2017	12	6 u.m. Zimmer	144	10	Iselin
2017	12	1 Zimmer	1121	11	St. Johann
2017	12	2 Zimmer	2970	11	St. Johann
2017	12	3 Zimmer	3841	11	St. Johann
2017	12	4 Zimmer	1489	11	St. Johann
2017	12	5 Zimmer	316	11	St. Johann
2017	12	6 u.m. Zimmer	340	11	St. Johann
2017	12	1 Zimmer	270	12	Altstadt Kleinbasel
2017	12	2 Zimmer	463	12	Altstadt Kleinbasel
2017	12	3 Zimmer	509	12	Altstadt Kleinbasel
2017	12	4 Zimmer	193	12	Altstadt Kleinbasel
2017	12	5 Zimmer	77	12	Altstadt Kleinbasel
2017	12	6 u.m. Zimmer	37	12	Altstadt Kleinbasel
2017	12	1 Zimmer	456	13	Clara
2017	12	2 Zimmer	662	13	Clara
2017	12	3 Zimmer	815	13	Clara
2017	12	4 Zimmer	331	13	Clara
2017	12	5 Zimmer	86	13	Clara
2017	12	6 u.m. Zimmer	14	13	Clara
2017	12	1 Zimmer	189	14	Wettstein
2017	12	2 Zimmer	727	14	Wettstein
2017	12	3 Zimmer	1472	14	Wettstein
2017	12	4 Zimmer	516	14	Wettstein
2017	12	5 Zimmer	159	14	Wettstein
2017	12	6 u.m. Zimmer	196	14	Wettstein
2017	12	1 Zimmer	202	15	Hirzbrunnen
2017	12	2 Zimmer	666	15	Hirzbrunnen
2017	12	3 Zimmer	2180	15	Hirzbrunnen
2017	12	4 Zimmer	1036	15	Hirzbrunnen
2017	12	5 Zimmer	400	15	Hirzbrunnen
2017	12	6 u.m. Zimmer	202	15	Hirzbrunnen
2017	12	1 Zimmer	337	16	Rosental
2017	12	2 Zimmer	1207	16	Rosental
2017	12	3 Zimmer	1375	16	Rosental
2017	12	4 Zimmer	496	16	Rosental
2017	12	5 Zimmer	92	16	Rosental
2017	12	6 u.m. Zimmer	12	16	Rosental
2017	12	1 Zimmer	1397	17	Matthäus
2017	12	2 Zimmer	2609	17	Matthäus
2017	12	3 Zimmer	3165	17	Matthäus
2017	12	4 Zimmer	1232	17	Matthäus
2017	12	5 Zimmer	306	17	Matthäus
2017	12	6 u.m. Zimmer	139	17	Matthäus
2017	12	1 Zimmer	359	18	Klybeck
2017	12	2 Zimmer	1352	18	Klybeck
2017	12	3 Zimmer	1405	18	Klybeck
2017	12	4 Zimmer	501	18	Klybeck
2017	12	5 Zimmer	104	18	Klybeck
2017	12	6 u.m. Zimmer	26	18	Klybeck
2017	12	1 Zimmer	94	19	Kleinhüningen
2017	12	2 Zimmer	346	19	Kleinhüningen
2017	12	3 Zimmer	674	19	Kleinhüningen
2017	12	4 Zimmer	197	19	Kleinhüningen
2017	12	5 Zimmer	31	19	Kleinhüningen
2017	12	6 u.m. Zimmer	19	19	Kleinhüningen
2017	12	1 Zimmer	297	20	Riehen
2017	12	2 Zimmer	1118	20	Riehen
2017	12	3 Zimmer	3236	20	Riehen
2017	12	4 Zimmer	2817	20	Riehen
2017	12	5 Zimmer	1533	20	Riehen
2017	12	6 u.m. Zimmer	1339	20	Riehen
2017	12	1 Zimmer	18	30	Bettingen
2017	12	2 Zimmer	44	30	Bettingen
2017	12	3 Zimmer	89	30	Bettingen
2017	12	4 Zimmer	103	30	Bettingen
2017	12	5 Zimmer	133	30	Bettingen
2017	12	6 u.m. Zimmer	116	30	Bettingen
