WohnviertelId	Wohnviertel	Mittelwert Gesamtsteuerertrag pro Veranlagung	 Summe Einkommenssteuerbetrag	 SummeVermögenssteuerbetrag
1	Altstadt GB	22172	27901106	9236982
2	Vorstädte	22571	49197631	18491552
3	Am Ring	13376	70596565	12858196
4	Breite	7801	40062655	2819645
5	St. Alban	21972	104234098	37240805
6	Gundeldingen	7789	83517575	6379289
7	Bruderholz	37765	98192822	90104006
8	Bachletten	13272	92431802	15231211
9	Gotthelf	9610	36241772	4033372
10	Iselin	6765	61515633	4365376
11	St. Johann	7094	71727742	5555050
12	Altstadt KB	9860	13872898	1784181
13	Clara	6635	14938272	1239004
14	Wettstein12 10137 215879	4591550
15	Hirzbrunnen	8263	39814503	3890548
16	Rosental	6655	20215000	802570
17	Matthäus	6805	57148208	4449656
18	Klybeck	4648	18263130	760890
19	Kleinhüningen	5115	7897937	332839
20	Riehen  16505	157895965	36166554
30	Bettingen	34995	12223809	9752939
