Alter	Frauen	Männer
0	4.92	5.11
1	3.95	3.69
2	3.86	3.6
3	3.36	4.21
4	3.81	3.6
5	4.04	4.19
6	3.83	3.76
7	3.96	3.73
8	4.07	4.83
9	3.83	4.74
10	6.09	4.12
11	5.85	4.63
12	8.07	5.9
13	7.27	5.44
14	6.22	8.45
15	7.07	7.29
16	6.59	6.8
17	6.43	5.65
18	4.58	5.4
19	4.48	4.99
20	4.4	4.13
21	4.87	5.82
22	4.95	5.45
23	4.24	5.76
24	5.55	6.36
25	5.03	5.06
26	4.48	5.3
27	5.1	5.52
28	4.64	4.39
29	4.78	4.6
30	4.76	6.02
31	4.95	5.21
32	4.99	5.79
33	4.97	4.65
34	4.86	5.65
35	4.8	4.71
36	5.23	4.93
37	4.92	4.84
38	4.68	4.87
39	4.94	5.8
40	4.77	4.98
41	4.96	5.93
42	5.22	5.22
43	5.6	5.63
44	5.35	5.48
45	5.57	6.02
46	5.13	6.41
47	5.21	6.06
48	5.25	6.48
49	5.77	7.18
50	5.58	5.66
51	6.03	6.82
52	5.68	5.9
53	5.69	6.55
54	6.14	5.8
55	6.28	6.67
56	6.28	6.98
57	6.39	6.92
58	6.43	6.06
59	7.4	6.98
60	6.95	6.39
61	7.31	7.02
62	6.15	7.92
63	7.02	6.91
64	7.05	7.26
65	7.01	7.24
66	6.81	7.37
67	8.16	7.4
68	8.13	7.36
69	7.45	7.51
70	7.52	7.25
71	7.62	7.78
72	7.93	7.6
73	8.1	7.37
74	7.94	7.78
75	7.63	7.76
76	8.41	8.04
77	8.22	8.01
78	7.97	8.06
79	7.84	8.39
80	8.19	7.6
81	7.39	7.92
82	7.77	7.55
83	8.35	7.93
84	7.35	7.79
85	8.21	7.04
86	7.58	7.97
87	7.4	8.26
88	8.08	7.52
89	7.27	8.03
90	6.62	6.93
91	7.09	6.71
92	6.84	7.16
93	6.77	7.95
94	6.46	5.98
95	6.36	6.14
96	6.82	7.52
97	5.95	6.3
98	5.33	4.75
99	6.91	5.57
100	5	6.13
