Altersklasse	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
0 bis 9 Jahre	211.59	209.72	222.76	211.57	203.77	203.51	202.05	198.94	197.09	190.57
10 bis 19 Jahre	67.48	69.581	68.981	69.238	73.695	70.898	72.001	67.283	67.138	66.177
20 bis 29 Jahre	88.352	86.65	91.201	97.338	96.83	91.864	92.463	94.094	94.498	85.202
30 bis 39 Jahre	117.26	119.4	114.64	123.56	123.63	117.8	123.35	120.51	122.2	114.91
40 bis 49 Jahre	122.14	118.72	117.77	126.19	123.28	131.55	127.26	129.12	128.06	114.63
50 bis 59 Jahre	170.68	170.06	172.27	171.03	174.11	168.01	167.94	176.97	176.79	160.3
60 bis 69 Jahre	263.51	265.18	267.21	274.22	276.82	272.72	271.91	271.65	280.5	251.34
70 bis 79 Jahre	432.4	432.39	436.5	449.48	460.69	481.71	477.78	473.59	450.17	417.14
80 bis 89 Jahre	641.05	650.04	655.18	670.26	706.63	714.76	744.2	750.09	779.91	687.88
90 Jahre u.m.	770.67	752.48	756.12	753.02	755.32	808.27	863.39	901.76	908.93	803.38
