""	"Männer aus Frankreich"	"Frauen aus Frankreich"	"Männer aus Deutschland"	"Frauen aus Deutschland"	"Männer aus übrigen Ländern"	"Frauen aus übrigen Ländern"	"Frau Österreich"	"Mann Österreich"
"2012-1"	10274	6777	8912	6285	62	18	12	11
"2012-2"	10539	6854	9076	6345	79	22	10	9
"2012-3"	10694	6843	9204	6441	97	26	10	10
"2012-4"	10612	6821	9155	6420	106	24	7	9
"2013-1"	10503	6766	9079	6393	105	24	11	10
"2013-2"	10751	6821	9212	6491	128	25	11	6
"2013-3"	10820	6833	9354	6622	142	23	8	6
"2013-4"	10675	6817	9326	6629	156	25	7	6
"2014-1"	10631	6841	9364	6673	166	27	12	7
"2014-2"	10933	6867	9518	6758	173	31	17	7
"2014-3"	11135	6858	9642	6874	180	27	15	7
"2014-4"	11006	6865	9594	6896	179	28	15	8
"2015-1"	10911	6896	9644	6973	188	30	12	11
"2015-2"	11116	6898	9734	7077	239	32	13	12
"2015-3"	11183	6956	9765	7120	259	19	14	14
"2015-4"	10947	6908	9711	7191	178	25	14	14
"2016-1"	10921	6974	9775	7385	192	27	12	14
"2016-2"	11099	7013	9917	7436	237	31	11	13
"2016-3"	11225	7003	9955	7431	273	28	14	12
"2016-4"	11089	7011	9909	7432	242	31	14	14
"2017-1"	10942	6965	9803	7313	244	35	15	16
"2017-2"	11151	7018	9870	7362	274	43	16	14
"2017-3"	11268	7059	9902	7389	281	41	18	17
"2017-4"	11038	7087	9790	7400	265	43	19	19
"2018-1"	10841	6987	9592	7255	247	44	18	16
"2018-2"	11027	7026	9599	7229	275	45	19	15
"2018-3"	10949	6915	9570	7207	281	48	20	19
"2018-4"	10562	6876	9398	7118	257	44	22	22
"2019-1"	10522	6828	9334	7030	272	55	19	21
"2019-2"	10766	6871	9345	7043	303	55	18	22
"2019-3"	10966	6882	9364	7017	332	55	17	22
"2019-4"	10808	6943	9397	7002	308	53	15	20
"2020-1"	11040	6913	9331	6874	287	76	13	18
"2020-2"	11065	6901	9360	6885	291	74	13	17
"2020-3"	11123	6932	9384	6877	313	77	13	20
"2020-4"	11061	6892	9360	6867	320	81	13	19
"2021-1"	11031	6908	9327	6828	322	80	12	18
"2021-2"	10993	6916	9290	6825	315	77	12	20
"2021-3"	11105	6965	9285	6827	313	81	12	22
"2021-4"	11266	7029	9318	6865	319	87	12	21

