""	"Industrie (exkl. Chemie, Pharma)"	"Chemie, Pharma"	"Baugewerbe"
"2014-1"	2534	7247	2094
"2014-2"	2532	7279	2131
"2014-3"	2544	7320	2144
"2014-4"	2545	7290	2148
"2015-1"	2527	7280	2176
"2015-2"	2521	7187	2201
"2015-3"	2513	7084	2122
"2015-4"	2499	7064	2099
"2016-1"	2537	7124	2104
"2016-2"	2539	7212	2077
"2016-3"	2567	7159	2051
"2016-4"	2564	7148	2041
"2017-1"	2558	7108	2013
"2017-2"	2515	7113	2002
"2017-3"	2491	6937	1978
"2017-4"	2473	6841	1959
"2018-1"	2400	6762	1900
"2018-2"	2381	6720	1896
"2018-3"	2346	6603	1873
"2018-4"	2314	6499	1848
"2019-1"	2312	6455	1809
"2019-2"	2312	6414	1795
"2019-3"	2319	6415	1775
"2019-4"	2330	6396	1790
"2020-1"	2335	6408	1789
"2020-2"	2361	6360	1803
"2020-3"	2374	6356	1815
"2020-4"	2373	6353	1610
"2021-1"	2299	6391	1572
"2021-2"	2304	6375	1577
"2021-3"	2286	6302	1575
"2021-4"	2293	6295	1568
"2022-1"	2252	6281	1487
"2022-2"	2243	6222	1465
"2022-3"	2200	6193	1441
"2022-4"	2166	6237	1408
"2023-1"	2107	6128	1358
"2023-2"	2096	6049	1338
"2023-3"	2045	5950	1338
"2023-4"	1941	5838	1330

