""	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung, Immobilien"	"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	"Personalvermittlung, -überlassung"
"2014-1"	1225	4405	1654	1951
"2014-2"	1223	4587	1719	2190
"2014-3"	1236	4737	1811	2243
"2014-4"	1235	4833	1802	2043
"2015-1"	1252	4904	1755	1999
"2015-2"	1186	5151	1881	2162
"2015-3"	1108	5291	1992	2225
"2015-4"	1105	5298	2042	1907
"2016-1"	1087	5418	1960	1866
"2016-2"	1087	5625	2044	2132
"2016-3"	1063	5654	2063	2201
"2016-4"	1054	5718	2103	2026
"2017-1"	1045	5851	2063	1805
"2017-2"	1031	5944	2147	2042
"2017-3"	976	6124	2359	2174
"2017-4"	954	6164	2281	2090
"2018-1"	931	6256	2301	1902
"2018-2"	935	6314	2346	2073
"2018-3"	927	6349	2362	2099
"2018-4"	926	6297	2396	1783
"2019-1"	904	6314	2417	1701
"2019-2"	934	6514	2440	1905
"2019-3"	912	6588	2410	2164
"2019-4"	927	6522	2569	1993
"2020-1"	916	6543	2504	1873
"2020-2"	918	6680	2483	1904
"2020-3"	914	6780	2581	1888
"2020-4"	898	6793	2564	1794
"2021-1"	891	6690	2531	1632
"2021-2"	908	6960	2486	1801
"2021-3"	910	7020	2555	1911
"2021-4"	901	7152	2603	1833
"2022-1"	784	7306	2718	1956
"2022-2"	770	7398	2731	1958
"2022-3"	735	7707	2716	1995
"2022-4"	700	7847	2767	1889
"2023-1"	668	7738	2795	1828
"2023-2"	624	7760	2803	1762
"2023-3"	610	7861	2919	1725
"2023-4"	598	8010	2856	1710

