""	"Mittlere jährliche Arbeitslosenquote Heime"	"Mittlere jährliche Arbeitslosenquote Sozialwesen"	"Monatliche Anzahl Arbeitslose Heime (rechte Skala)"	"Monatliche Anzahl Arbeitslose Sozialwesen (rechte Skala)"
"2012-01"	0.035032	0.018155	107	40
"2012-02"	0.035032	0.018155	100	46
"2012-03"	0.035032	0.018155	99	51
"2012-04"	0.035032	0.018155	94	47
"2012-05"	0.035032	0.018155	104	46
"2012-06"	0.035032	0.018155	100	49
"2012-07"	0.035032	0.018155	108	55
"2012-08"	0.035032	0.018155	120	57
"2012-09"	0.035032	0.018155	130	56
"2012-10"	0.035032	0.018155	132	60
"2012-11"	0.035032	0.018155	128	66
"2012-12"	0.035032	0.018155	121	67
"2013-01"	0.035397	0.024850	119	66
"2013-02"	0.035397	0.024850	111	64
"2013-03"	0.035397	0.024850	117	60
"2013-04"	0.035397	0.024850	117	60
"2013-05"	0.035397	0.024850	119	60
"2013-06"	0.035397	0.024850	101	60
"2013-07"	0.035397	0.024850	113	72
"2013-08"	0.035397	0.024850	117	79
"2013-09"	0.035397	0.024850	115	84
"2013-10"	0.035397	0.024850	111	90
"2013-11"	0.035397	0.024850	104	90
"2013-12"	0.035397	0.024850	113	91
"2014-01"	0.031563	0.026126	114	82
"2014-02"	0.031563	0.026126	113	74
"2014-03"	0.031563	0.026126	121	69
"2014-04"	0.031563	0.026126	109	70
"2014-05"	0.031563	0.026126	104	65
"2014-06"	0.031563	0.026126	101	61
"2014-07"	0.031563	0.026126	105	73
"2014-08"	0.031563	0.026126	107	83
"2014-09"	0.031563	0.026126	96	87
"2014-10"	0.031563	0.026126	85	82
"2014-11"	0.031563	0.026126	80	86
"2014-12"	0.031563	0.026126	75	89
"2015-01"	0.031641	0.026126	91	84
"2015-02"	0.031641	0.026126	91	73
"2015-03"	0.031641	0.026126	97	71
"2015-04"	0.031641	0.026126	98	69
"2015-05"	0.031641	0.026126	94	69
"2015-06"	0.031641	0.026126	97	61
"2015-07"	0.031641	0.026126	100	68
"2015-08"	0.031641	0.026126	101	87
"2015-09"	0.031641	0.026126	107	89
"2015-10"	0.031641	0.026126	115	84
"2015-11"	0.031641	0.026126	114	87
"2015-12"	0.031641	0.026126	108	79
"2016-01"	0.036571	0.032112	101	80
"2016-02"	0.036571	0.032112	116	90
"2016-03"	0.036571	0.032112	121	87
"2016-04"	0.036571	0.032112	119	92
"2016-05"	0.036571	0.032112	121	99
"2016-06"	0.036571	0.032112	120	87
"2016-07"	0.036571	0.032112	120	92
"2016-08"	0.036571	0.032112	125	105
"2016-09"	0.036571	0.032112	117	105
"2016-10"	0.036571	0.032112	114	101
"2016-11"	0.036571	0.032112	115	99
"2016-12"	0.036571	0.032112	113	95
"2017-01"	0.042727	0.034211	124	94
"2017-02"	0.042727	0.034211	123	91
"2017-03"	0.042727	0.034211	127	96
"2017-04"	0.042727	0.034211	135	103
"2017-05"	0.042727	0.034211	134	96
"2017-06"	0.042727	0.034211	138	92
"2017-07"	0.042727	0.034211	136	103
"2017-08"	0.042727	0.034211	141	116
"2017-09"	0.042727	0.034211	138	107
"2017-10"	0.042727	0.034211	147	106
"2017-11"	0.042727	0.034211	147	101
"2017-12"	0.042727	0.034211	148	101
"2018-01"	0.034015	0.031431	134	104
"2018-02"	0.034015	0.031431	128	89
"2018-03"	0.034015	0.031431	122	83
"2018-04"	0.034015	0.031431	123	84
"2018-05"	0.034015	0.031431	112	81
"2018-06"	0.034015	0.031431	109	81
"2018-07"	0.034015	0.031431	102	92
"2018-08"	0.034015	0.031431	104	106
"2018-09"	0.034015	0.031431	106	101
"2018-10"	0.034015	0.031431	108	107
"2018-11"	0.034015	0.031431	82	96
"2018-12"	0.034015	0.031431	74	84
"2019-01"	0.027285	0.026750	87	85
"2019-02"	0.027285	0.026750	80	74
"2019-03"	0.027285	0.026750	87	69
"2019-04"	0.027285	0.026750	83	60
"2019-05"	0.027285	0.026750	87	70
"2019-06"	0.027285	0.026750	82	67
"2019-07"	0.027285	0.026750	88	82
"2019-08"	0.027285	0.026750	96	100
"2019-09"	0.027285	0.026750	88	78
"2019-10"	0.027285	0.026750	88	79
"2019-11"	0.027285	0.026750	94	83
"2019-12"	0.027285	0.026750	86	96
"2020-01"	0.034093	0.037671	91	96
"2020-02"	0.034093	0.037671	95	92
"2020-03"	0.034093	0.037671	91	91
"2020-04"	0.034093	0.037671	97	102
"2020-05"	0.034093	0.037671	106	100
"2020-06"	0.034093	0.037671	110	105
"2020-07"	0.034093	0.037671	128	127
"2020-08"	0.034093	0.037671	121	130
"2020-09"	0.034093	0.037671	122	134
"2020-10"	0.034093	0.037671	114	119
"2020-11"	0.034093	0.037671	118	121
"2020-12"	0.034093	0.037671	114	111
"2021-01"	0.037510	0.035969	109	111
"2021-02"	0.037510	0.035969	118	119
"2021-03"	0.037510	0.035969	110	114
"2021-04"	0.037510	0.035969	120	110
"2021-05"	0.037510	0.035969	122	106
"2021-06"	0.037510	0.035969	118	109
"2021-07"	0.037510	0.035969	120	114
"2021-08"	0.037510	0.035969	126	102
"2021-09"	0.037510	0.035969	126	98
"2021-10"	0.037510	0.035969	127	97
"2021-11"	0.037510	0.035969	121	96
"2021-12"	0.037510	0.035969	121	92

