""	"Zuwanderung ET (rechte Skala)"	"Bestand Grenzgänger Heime"	"Bestand Grenzgänger Sozialwesen"	"Best. MP in VZÄ Gesundh.-, Veterinärwesen, Heime, Kikri"
"2010-01"	9	814	333	8
"2010-02"	10	792	328	17
"2010-03"	14	829	357	27
"2010-04"	9	795	364	19
"2011-01"	2	798	328	15
"2011-02"	7	848	328	14
"2011-03"	11	821	300	26
"2011-04"	8	773	344	15
"2012-01"	7	812	340	19
"2012-02"	15	805	338	12
"2012-03"	6	834	387	19
"2012-04"	8	859	340	13
"2013-01"	14	814	375	23
"2013-02"	8	846	350	13
"2013-03"	8	904	364	20
"2013-04"	2	920	384	14
"2014-01"	4	966	359	16
"2014-02"	8	919	408	15
"2014-03"	6	968	396	26
"2014-04"	8	986	400	13
"2015-01"	7	951	397	23
"2015-02"	9	984	408	16
"2015-03"	11	1012	379	25
"2015-04"	4	1004	404	14
"2016-01"	10	970	425	19
"2016-02"	2	1059	410	16
"2016-03"	8	1025	430	28
"2016-04"	14	1037	420	16
"2017-01"	9	1112	410	17
"2017-02"	5	1056	453	14
"2017-03"	4	1098	425	29
"2017-04"	10	1038	434	19
"2018-01"	"."	1123	393	21
"2018-02"	"."	1081	416	16
"2018-03"	"."	1101	430	30

