	Bestand Grenzgänger	Bestand Meldepflichtige in VZÄ	Zuwanderung Erwerbstätige (rechte Skala)
2010-01	1375	371	16
2010-02	1390	165	21
2010-03	1430	182	34
2010-04	1405	296	25
2011-01	1413	290	31
2011-02	1437	184	34
2011-03	1419	259	54
2011-04	1401	189	46
2012-01	1403	402	28
2012-02	1324	206	21
2012-03	1361	289	22
2012-04	1355	262	20
2013-01	1319	233	10
2013-02	1305	641	18
2013-03	1332	273	25
2013-04	1354	203	26
2014-01	1383	1066	25
2014-02	1341	589	17
2014-03	1402	291	31
2014-04	1402	201	29
2015-01	1396	1055	18
2015-02	1420	437	21
2015-03	1365	280	19
2015-04	1323	170	16
2016-01	1392	1099	13
2016-02	1336	423	12
2016-03	1317	245	18
2016-04	1312	161	17
2017-01	1277	852	12
2017-02	1351	435	4
2017-03	1290	305	13
2017-04	1237	165	7
2018-01	1126	778	12
2018-02	1128	332	5
2018-03	1075	188	39
2018-04	1092	159	11
2019-01	1040	448	11
2019-02	1055	348	6
2019-03	1056	203	23
2019-04		202	17
