""	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ"
"2010-01"	1274	25
"2010-02"	1387	54
"2010-03"	1460	104
"2010-04"	1503	68
"2011-01"	1404	46
"2011-02"	1560	64
"2011-03"	1698	95
"2011-04"	1554	71
"2012-01"	1436	43
"2012-02"	1722	68
"2012-03"	1907	148
"2012-04"	1768	98
"2013-01"	1698	76
"2013-02"	1961	128
"2013-03"	2131	166
"2013-04"	2008	110
"2014-01"	1942	83
"2014-02"	2182	133
"2014-03"	2235	196
"2014-04"	2036	83
"2015-01"	1996	75
"2015-02"	2160	99
"2015-03"	2218	151
"2015-04"	1902	61
"2016-01"	1861	53
"2016-02"	2130	82
"2016-03"	2199	108
"2016-04"	2025	68
"2017-01"	2176	47
"2017-02"	2179	109
"2017-03"	2255	136
"2017-04"	2307	85
"2018-01"	2205	63
"2018-02"	2190	105
"2018-03"	2233	140

