"Kanton"	"Jahr"	"1 Zi"	"2 Zi"	"3 Zi"	"4 Zi"	"5 Zi"	"6 u.m. Zi"	"Leerstandsquote (rechte Skala)"
"Basel-Stadt"	2010	124	158	317	148	31	5	0.007
"Basel-Stadt"	2011	94	115	171	92	36	14	0.005
"Basel-Stadt"	2012	119	102	159	86	23	11	0.005
"Basel-Stadt"	2013	58	91	136	55	14	7	0.003
"Basel-Stadt"	2014	25	51	93	48	18	10	0.002
"Basel-Stadt"	2015	52	84	107	79	19	20	0.003
"Basel-Stadt"	2016	61	107	163	77	30	14	0.004
"Basel-Stadt"	2017	68	164	202	84	16	12	0.005
"Basel-Stadt"	2018	117	251	267	99	26	22	0.007
"Basel-Stadt"	2019	186	327	403	155	41	12	0.010
