GD_NR	GD_NAME	ANZ_LEER	ANZ_BESTAND	LEERWHGQ	JAHR
2761	Aesch (BL)	72	5066	0.014212396	2020
2762	Allschwil	139	11031	0.012600852	2020
2841	Anwil	1	247	0.004048583	2020
2881	Arboldswil	0	263	0	2020
2821	Arisdorf	5	722	0.006925208	2020
2763	Arlesheim	61	4681	0.013031404	2020
2822	Augst	5	603	0.008291874	2020
2701	Basel	961	100658	0.00954718	2020
2882	Bennwil	2	298	0.006711409	2020
2702	Bettingen	4	503	0.007952286	2020
2764	Biel-Benken	19	1539	0.012345679	2020
2765	Binningen	61	8377	0.007281843	2020
2766	Birsfelden	69	5727	0.012048193	2020
2781	Blauen	1	352	0.002840909	2020
2842	Böckten	1	372	0.002688172	2020
2767	Bottmingen	34	3400	0.01	2020
2883	Bretzwil	2	342	0.005847953	2020
2782	Brislach	6	751	0.007989348	2020
2823	Bubendorf	14	2059	0.006799417	2020
2843	Buckten	1	339	0.002949853	2020
2783	Burg im Leimental	1	131	0.007633588	2020
2844	Buus	2	481	0.004158004	2020
2884	Diegten	6	744	0.008064516	2020
2845	Diepflingen	0	330	0	2020
2784	Dittingen	0	368	0	2020
2785	Duggingen	5	712	0.007022472	2020
2885	Eptingen	3	268	0.01119403	2020
2768	Ettingen	39	2629	0.014834538	2020
2824	Frenkendorf	36	3141	0.011461318	2020
2825	Füllinsdorf	36	2264	0.01590106	2020
2846	Gelterkinden	13	2976	0.00436828	2020
2826	Giebenach	10	498	0.020080321	2020
2786	Grellingen	15	969	0.015479876	2020
2847	Häfelfingen	1	118	0.008474576	2020
2848	Hemmiken	1	142	0.007042254	2020
2827	Hersberg	0	158	0	2020
2886	Hölstein	4	1121	0.003568243	2020
2849	Itingen	6	956	0.006276151	2020
2850	Känerkinden	1	257	0.003891051	2020
2851	Kilchberg (BL)	0	71	0	2020
2887	Lampenberg	0	232	0	2020
2888	Langenbruck	3	511	0.005870841	2020
2852	Läufelfingen	3	620	0.00483871	2020
2787	Laufen	55	2907	0.018919849	2020
2828	Lausen	51	2508	0.020334928	2020
2889	Lauwil	0	174	0	2020
2890	Liedertswil	1	78	0.012820513	2020
2788	Liesberg	2	608	0.003289474	2020
2829	Liestal	145	7415	0.019554956	2020
2830	Lupsingen	1	645	0.001550388	2020
2853	Maisprach	2	463	0.004319654	2020
2769	Münchenstein	71	6013	0.01180775	2020
2770	Muttenz	72	8754	0.008224812	2020
2789	Nenzlingen	1	200	0.005	2020
2891	Niederdorf	3	873	0.003436426	2020
2854	Nusshof	0	118	0	2020
2892	Oberdorf (BL)	19	1152	0.016493056	2020
2771	Oberwil (BL)	88	5366	0.016399553	2020
2855	Oltingen	1	248	0.004032258	2020
2856	Ormalingen	14	1036	0.013513514	2020
2772	Pfeffingen	6	1033	0.005808325	2020
2831	Pratteln	80	8126	0.009844942	2020
2832	Ramlinsburg	1	330	0.003030303	2020
2893	Reigoldswil	4	757	0.005284016	2020
2773	Reinach (BL)	133	9465	0.01405177	2020
2857	Rickenbach (BL)	0	283	0	2020
2703	Riehen	108	10484	0.010301412	2020
2790	Roggenburg	2	163	0.012269939	2020
2791	Röschenz	14	905	0.015469613	2020
2858	Rothenfluh	0	370	0	2020
2859	Rümlingen	3	184	0.016304348	2020
2860	Rünenberg	1	383	0.002610966	2020
2774	Schönenbuch	1	647	0.001545595	2020
2833	Seltisberg	1	597	0.001675042	2020
2861	Sissach	40	3334	0.0119976	2020
2862	Tecknau	6	374	0.016042781	2020
2863	Tenniken	1	415	0.002409639	2020
2775	Therwil	51	4660	0.010944206	2020
2864	Thürnen	7	639	0.010954617	2020
2894	Titterten	0	216	0	2020
2792	Wahlen	9	715	0.012587413	2020
2895	Waldenburg	14	619	0.022617124	2020
2865	Wenslingen	3	345	0.008695652	2020
2866	Wintersingen	0	306	0	2020
2867	Wittinsburg	0	191	0	2020
2868	Zeglingen	2	239	0.008368201	2020
2834	Ziefen	0	700	0	2020
2869	Zunzgen	10	1258	0.007949126	2020
2793	Zwingen	24	1171	0.020495303	2020
