"Kanton"	"2017"	"2018"	"2019"	"2020"	"2021"
"CH"	1.5	1.6	1.7	1.7	""
"."	""	""	""	""	""
"BS"	0.5	0.7	1.0	1.0	1.1
"BL"	0.6	0.8	1.1	1.1	1.0
".."	""	""	""	""	""
"ZH"	0.9	1.0	0.9	0.9	""
"BE"	1.8	1.8	1.9	1.9	""
"LU"	1.1	1.4	1.5	1.5	""
"UR"	1.9	1.4	1.9	1.4	""
"SZ"	1.5	1.4	1.4	1.3	""
"OW"	0.6	0.7	0.9	0.9	""
"NW"	1.6	1.9	1.5	1.8	""
"GL"	1.7	1.6	1.7	1.8	""
"ZG"	0.4	0.4	0.4	0.7	""
"FR"	1.3	1.5	1.8	1.9	""
"SO"	2.8	3.0	3.4	3.2	""
"SH"	2.0	2.5	2.6	2.0	""
"AR"	2.0	2.2	2.3	1.6	""
"AI"	2.4	1.9	2.0	2.2	""
"SG"	1.8	2.2	2.2	2.4	""
"GR"	1.7	1.6	1.7	1.4	""
"AG"	2.3	2.7	2.6	2.7	""
"TG"	2.0	2.4	2.7	2.5	""
"TI"	1.6	2.0	2.3	2.7	""
"VD"	0.9	1.1	1.1	1.4	""
"VS"	2.3	2.4	2.1	2.4	""
"NE"	1.5	2.0	2.4	2.4	""
"GE"	0.5	0.5	0.5	0.5	""
"JU"	2.3	2.6	2.6	2.5	""

