Jahr	Neubau Messe	Neubau Erlenmatt	Abbruch Messe Abbruch Erlenmatt	Umbausaldo Messe	Umbausaldo Messe	Nettowohnungsproduktion Messe	Nettowohnungsproduktion Erlenmatt
2004	0	0	0	0	0	0	0	0
2005	0	0	0	0	-9	0	-9	0
2006	0	0	0	0	-5	0	-5	0
2007	0	0	0	0	0	0	0	0
2008	0	0	0	0	0	0	0	0
2009	0	239	-2	0	-3	-1	-5	238
2010	9	0	0	0	1	0	10	0
2011	0	0	-7	0	0	0	-7	0
2012	0	0	0	0	8	0	8	0
2013	15	0	0	0	1	0	16	0
2014	0	63	0	0	3	0	3	63
2015	0	574	-39	0	2	0	-37	574
2016	0	0	0	0	0	0	0	0
2017	0	80	0	0	2	0	2	80
2018	81	43	0	0	5	0	86	43
