WOV_ID	WOV_NAME	Jahr	Anzahl Einwohner über 30 µg/m3	Anteil Einwohner über 30 µg/m3 in %
01	Altstadt Grossbasel	2020	155	6.96
02	Vorstädte	2020	403	7.98
03	Am Ring	2020	230	2.03
04	Breite	2020	2302	25.43
05	St. Alban	2020	1385	11.81
06	Gundeldingen	2020	341	1.8
07	Bruderholz	2020	48	0.51
08	Bachletten	2020	709	5.18
09	Gotthelf	2020	40	0.59
10	Iselin	2020	970	5.7
11	St. Johann	2020	2254	12.19
12	Altstadt Kleinbasel	2020	224	9.28
13	Clara	2020	0	0
14	Wettstein	2020	539	9.34
15	Hirzbrunnen	2020	186	2
16	Rosental	2020	1376	18
17	Matthäus	2020	1077	6.95
18	Klybeck	2020	33	0.46
19	Kleinhüningen	2020	140	4.98
20	Riehen	2020	112	0.52
30	Bettingen	2020	0	0
