Jahr	Geschlecht	Potentiell verlorene Jahre
1995	Frauen	4188
1996	Frauen	4149
1997	Frauen	4277
1998	Frauen	4122
1999	Frauen	5069
2000	Frauen	4385
2001	Frauen	3641
2002	Frauen	3922
2003	Frauen	3905
2004	Frauen	3590
2005	Frauen	3269
2006	Frauen	3562
2007	Frauen	3462
2008	Frauen	3279
2009	Frauen	3385
2010	Frauen	2978
2011	Frauen	3166
2012	Frauen	3322
2013	Frauen	3026
2014	Frauen	3168
2015	Frauen	2605
2016	Frauen	2485
2017	Frauen	2463
2018	Frauen	
1995	Männer	9934
1996	Männer	9664
1997	Männer	8820
1998	Männer	9014
1999	Männer	8514
2000	Männer	7451
2001	Männer	8171
2002	Männer	6521
2003	Männer	7985
2004	Männer	6731
2005	Männer	7357
2006	Männer	5679
2007	Männer	6101
2008	Männer	6550
2009	Männer	5948
2010	Männer	5502
2011	Männer	5503
2012	Männer	5347
2013	Männer	5445
2014	Männer	5309
2015	Männer	4525
2016	Männer	4309
2017	Männer	3967
2018	Männer	
