"Jahr"	"Effektiv"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"1985"	38.1	""	""	""
"1986"	38.8	""	""	""
"1987"	39.2	""	""	""
"1988"	39.7	""	""	""
"1989"	39.9	""	""	""
"1990"	39.3	""	""	""
"1991"	39.4	""	""	""
"1992"	39.3	""	""	""
"1993"	39.2	""	""	""
"1994"	39.3	""	""	""
"1995"	39.5	""	""	""
"1996"	39.9	""	""	""
"1997"	40.2	""	""	""
"1998"	40.5	""	""	""
"1999"	40.9	""	""	""
"2000"	41.1	""	""	""
"2001"	41.4	""	""	""
"2002"	41.5	""	""	""
"2003"	41.6	""	""	""
"2004"	41.7	""	""	""
"2005"	42.0	""	""	""
"2006"	42.2	""	""	""
"2007"	42.2	""	""	""
"2008"	42.0	""	""	""
"2009"	41.9	""	""	""
"2010"	42.1	""	""	""
"2011"	42.0	""	""	""
"2012"	42.0	""	""	""
"2013"	42.0	""	""	""
"2014"	41.7	""	""	""
"2015"	41.5	""	""	""
"2016"	41.3	""	""	""
"2017"	41.1	""	""	""
"2018"	41.0	""	""	""
"2019"	""	40.7	41.1	41.5
"2020"	""	40.6	41.1	41.7
"2021"	""	40.5	41.1	41.8
"2022"	""	40.4	41.2	42.0
"2023"	""	40.4	41.2	42.1
"2024"	""	40.3	41.2	42.3
"2025"	""	40.2	41.3	42.4
"2026"	""	40.1	41.3	42.6
"2027"	""	40.1	41.3	42.7
"2028"	""	40.0	41.4	42.9
"2029"	""	39.9	41.4	43.0
"2030"	""	39.8	41.4	43.2
"2031"	""	39.8	41.5	43.3
"2032"	""	39.7	41.5	43.5
"2033"	""	39.6	41.5	43.6
"2034"	""	39.6	41.5	43.8
"2035"	""	39.5	41.6	43.9
"2036"	""	39.4	41.6	44.1
"2037"	""	39.3	41.6	44.2
"2038"	""	39.3	41.7	44.4
"2039"	""	39.2	41.7	44.5
"2040"	""	39.1	41.7	44.7

