"Jahr"	"Effektiv BS"	"Hohes Szenario BS"	"Mittleres Szenario BS"	"Tiefes Szenario BS"	"Effektiv KB"	"Hohes Szenario KB"	"Mittleres Szenario KB"	"Tiefes Szenario KB"
"1985"	0.3058	""	""	""	0.2714	""	""	""
"1986"	0.3114	""	""	""	0.2771	""	""	""
"1987"	0.3145	""	""	""	0.2784	""	""	""
"1988"	0.3173	""	""	""	0.2769	""	""	""
"1989"	0.3201	""	""	""	0.2784	""	""	""
"1990"	0.3180	""	""	""	0.2752	""	""	""
"1991"	0.3175	""	""	""	0.2730	""	""	""
"1992"	0.3168	""	""	""	0.2690	""	""	""
"1993"	0.3171	""	""	""	0.2655	""	""	""
"1994"	0.3212	""	""	""	0.2691	""	""	""
"1995"	0.3240	""	""	""	0.2696	""	""	""
"1996"	0.3272	""	""	""	0.2715	""	""	""
"1997"	0.3311	""	""	""	0.2744	""	""	""
"1998"	0.3325	""	""	""	0.2755	""	""	""
"1999"	0.3362	""	""	""	0.2765	""	""	""
"2000"	0.3386	""	""	""	0.2773	""	""	""
"2001"	0.3385	""	""	""	0.2772	""	""	""
"2002"	0.3326	""	""	""	0.2686	""	""	""
"2003"	0.3290	""	""	""	0.2645	""	""	""
"2004"	0.3271	""	""	""	0.2612	""	""	""
"2005"	0.3271	""	""	""	0.2594	""	""	""
"2006"	0.3263	""	""	""	0.2578	""	""	""
"2007"	0.3267	""	""	""	0.2576	""	""	""
"2008"	0.3237	""	""	""	0.2531	""	""	""
"2009"	0.3202	""	""	""	0.2491	""	""	""
"2010"	0.3190	""	""	""	0.2525	""	""	""
"2011"	0.3167	""	""	""	0.2522	""	""	""
"2012"	0.3147	""	""	""	0.2507	""	""	""
"2013"	0.3121	""	""	""	0.2473	""	""	""
"2014"	0.3107	""	""	""	0.2450	""	""	""
"2015"	0.3093	""	""	""	0.2437	""	""	""
"2016"	0.3074	""	""	""	0.2406	""	""	""
"2017"	0.3060	""	""	""	0.2424	""	""	""
"2018"	0.3044	""	""	""	0.2456	""	""	""
"2019"	0.3039	""	""	""	0.2459	""	""	""
"2020"	0.3007	""	""	""	0.2461	""	""	""
"2021"	0.3034	""	""	""	0.2494	""	""	""
"2022"	0.3013	""	""	""	0.2478	""	""	""
"2023"	0.3013	""	""	""	0.2484	""	""	""
"2024"	0.3023	""	""	""	0.2512	""	""	""
"2025"	0.3020	""	""	""	0.2491	""	""	""
"2026"	""	0.3026	0.3028	0.3041	""	0.2496	0.2501	0.2518
"2027"	""	0.3032	0.3037	0.3062	""	0.2498	0.2507	0.2541
"2028"	""	0.3046	0.3052	0.3091	""	0.2513	0.2526	0.2577
"2029"	""	0.3065	0.3074	0.3125	""	0.2531	0.2549	0.2615
"2030"	""	0.3081	0.3091	0.3154	""	0.2543	0.2565	0.2647
"2031"	""	0.3093	0.3103	0.3178	""	0.2550	0.2576	0.2672
"2032"	""	0.3091	0.3102	0.3186	""	0.2539	0.2567	0.2675
"2033"	""	0.3091	0.3103	0.3195	""	0.2533	0.2564	0.2684
"2034"	""	0.3089	0.3100	0.3200	""	0.2520	0.2554	0.2686
"2035"	""	0.3080	0.3091	0.3197	""	0.2508	0.2546	0.2691
"2036"	""	0.3068	0.3077	0.3188	""	0.2485	0.2527	0.2684
"2037"	""	0.3053	0.3061	0.3176	""	0.2462	0.2508	0.2678
"2038"	""	0.3042	0.3048	0.3167	""	0.2436	0.2486	0.2669
"2039"	""	0.3039	0.3044	0.3167	""	0.2415	0.2471	0.2667
"2040"	""	0.3031	0.3035	0.3161	""	0.2392	0.2454	0.2661
"2041"	""	0.3028	0.3032	0.3161	""	0.2372	0.2441	0.2659
"2042"	""	0.3029	0.3033	0.3164	""	0.2357	0.2433	0.2662
"2043"	""	0.3027	0.3031	0.3164	""	0.2340	0.2423	0.2660
"2044"	""	0.3028	0.3033	0.3167	""	0.2327	0.2419	0.2663
"2045"	""	0.3037	0.3043	0.3180	""	0.2320	0.2419	0.2672
"2046"	""	0.3047	0.3056	0.3197	""	0.2317	0.2425	0.2688
"2047"	""	0.3058	0.3070	0.3215	""	0.2312	0.2427	0.2698
"2048"	""	0.3068	0.3083	0.3231	""	0.2306	0.2428	0.2706
"2049"	""	0.3078	0.3097	0.3247	""	0.2304	0.2433	0.2719
"2050"	""	0.3087	0.3109	0.3262	""	0.2300	0.2435	0.2727

