Aggloteile2	ISCED Stufen 1 oder 2	ISCED Stufen 3 oder 4	ISCED Stufen 5 oder 6
Basel: Kernstadt	16.76	32.55	50.69
Basel: CH Agglomerationsgürtel	14.8	43.06	42.13
Basel: DE Agglomerationsgürtel	15.97	53	29.36
Basel: FR Agglomerationsgürtel	18.61	49.19	30.75
.....			
Bern: Kernstadt	13.63	32.77	53.59
Bern: CH Agglomerationsgürtel	11.56	51.19	37.25
.......			
Genève: Kernstadt	22.82	24.7	52.48
Genève: CH Agglomerationsgürtel	21.96	29.6	48.45
Genève: FR Agglomerationsgürtel	15.7	41.23	41.03
..........			
Lausanne: Kernstadt	24.42	26.98	48.6
Lausanne: CH Agglomerationsgürtel	20.03	37.88	42.09
............			
Zürich: Kernstadt	13.04	28.09	58.88
Zürich: CH Agglomerationsgürtel	14.01	44.55	41.43
